lemma	identifier1	identifier2	context1	context2	indexes_target_token1	derived_indexes1	indexes_target_token2	derived_indexes2	judgment
bar	fic_1850_7171.txt-3724-16	news_2000_633241.txt-70-5	gainsay,  and  a  virtue  that  he  dare  not  revile;  and  he  stood  behind  the  bar,  looking  like  one  who  had  just  seen  his  grandmother's  ghost.	I  shouted  across  the  quiet  bar  to  ask  Bob  and  Rod  if  they  knew  any  Charlie  Rich  songs.	71:74	[71,  74]	27:30	[27,  30]	
bar	fic_1969_10517.txt-622-7	mag_1999_408585.txt-67-25	The  funny  thing  is  that  both  the  bars  and  the  arms  are  bolted  to  the  doors  and  also  to  the  walls  and  I  can't  figure  out  how  they  open.	If  you  enlarge  the  window,  you  may  be  able  to  see  some  of  the  folder's  contents,  but  since  the  window  lacks  scroll  bars,  you  won't  get  very  far.	33:37	[33,  36]	115:119	[115,  118]	
bar	fic_1970_782004.txt-928-31	mag_1854_555974.txt-331-28	The  future  was  here,  thought  |  The  Nightman  as  his  eyes,  lidded  and  heavy,  moved  past  the  closed  door  of  the  poolroom  toilet  and  settled  on  the  iron  bars  covering  the  back  window.   "	Practically,  we  know  that  nine  tenths  either  goes  to  the  mint  as  soon  as  it  is  washed  out  of  the  earth,  or  is  cast  into  stamped  bars  which  perform  all  the  purposes  of  coin.	149:153	[149,  152]	128:132	[128,  131]	
bar	fic_1854_9193.txt-1299-7	fic_2000_13995.txt-480-6	said  Ned,  still  brandishing  the  iron  bar.   "	MATT  MICKELSON  Was  he  in  the  bar  Tuesday  night?	37:40	[37,  40]	29:32	[29,  32]	
bar	nf_1997_746547.txt-708-17	nf_1857_753133.txt-433-14	The  list  shall  be  published  annually  in  the  ABA  Approved  Law  Schools:  Statistical  Information  on  American  Bar  Association  Approved  Law  Schools,  Review  of  Legal  education,  a  publication  which  is  published  by  the  Section  and  single  copies  of  which  are  distributed  by  the  Consultant  upon  request,  without  charge.	My  impression  is,  that  in  point  of  skill  and  professional  ability  the  Minnesota  bar  is  a  little  above  the  average  of  territorial  bars.	106:109	[-1,  2]	80:83	[80,  83]	
bar	nf_1837_747882.txt-1668-34	news_2006_629441.txt-53-23	In  this  case  a  link  of  the  same  form  had  been  before  in  use,  and  it  had  been  strengthened  by  a  bar  across  it,  but  a  change  of  the  form  of  this  bar,  and  the  manner  of  attaching  it  to  the  link,  was  considered,  and  as  it  should  seem  with  very  good  reason,  by  Chief  Justice  Abbott  and  Mr.  Justice  Bayley,  to  be  a  good  founda-  Bruoton?	But  he  and  his  wife  occasionally  spend  time  alone  over  a  plate  of  fresh,  inventive  sushi  at  Sakana  Japanese  Grill  &;  Sushi  Bar.   "	143:146	[95,  98]	123:126	[-1,  2]	
bar	fic_1860_7915.txt-320-87	mag_1821_553342.txt-352-17	She  threw  The  pale,  cold  corse  in  scorn  away,  And  yet  more  dark  her  features  grew,  As  death  had  robbed  her  of  her  prey;  And  still  she  stood,  with  fiend-like  eye,  Revelling  in  hatred's  demon  feast,  And  with  low  curse  and  muttered  cry  Banning  e'en  Him  who  had  released  The  vestal  from  her  deadly  power  And  raised  the  soul  to  Eden's  bower,  When  a  loud  crash  rose  high  --  and  far  The  echo  as  of  bolt  and  bar  Shooting,  went  forth!	A  community  provided  with  ample  resources  against  an  endless  increase  of  members,  and  enjoying  a  free  bar,  a  free  senate,  and  a  free  press,  if  true  to  herself,  must  do  great  things.	400:403	[400,  403]	102:105	[102,  105]	
bar	fic_2000_38436.txt-821-29	nf_1857_753133.txt-433-14	Looking  across  the  water,  above  the  levee,  toward  the  little  town,  Jolie-Gray  can  not  see  the  pink  light  of  the  neon-script  sign  on  Dubois  Aucoin's  bar,  though  it  is  early  enough  that  the  neon  is  still  lit.	My  impression  is,  that  in  point  of  skill  and  professional  ability  the  Minnesota  bar  is  a  little  above  the  average  of  territorial  bars.	148:151	[148,  151]	80:83	[80,  83]	
bar	fic_1859_9192.txt-10215-27	nf_1857_753133.txt-433-14	We  left  him  in  a  boat  on  the  river,  having  those  evil  plotters  in  custody  --  but  he  was  directed  to  release  them  on  the  island  bar.	My  impression  is,  that  in  point  of  skill  and  professional  ability  the  Minnesota  bar  is  a  little  above  the  average  of  territorial  bars.	127:130	[127,  130]	80:83	[80,  83]	
bar	fic_1847_7343.txt-75-28	mag_1821_553342.txt-352-17	Thar  may  be  such  a  thing  as  narvious,  stranger,  but  nothin  '  but  a  yarthquake,  or  the  agee,  can  shake  me;  and  still  bar  hunting  ain't  as  easy  as  scearing  a  wild  turkey,  by  a  long  shot.	A  community  provided  with  ample  resources  against  an  endless  increase  of  members,  and  enjoying  a  free  bar,  a  free  senate,  and  a  free  press,  if  true  to  herself,  must  do  great  things.	116:119	[116,  119]	102:105	[102,  105]	
bar	fic_1977_780095.txt-189-7	fic_2002_47139.txt-175-11	For  years  it  had  been  a  small  bar,  The  Lilac  Playroom,  a  rendezvous  for  passed-over  whores,  spent  jockeys,  and  deathbound  vagrants.	Mr.  Benson  tipped  his  glass  to  our  reflections  in  the  long  bar  mirror  before  he  turned  to  the  pool  table-It  ain't  the  drank.	30:33	[30,  33]	59:62	[59,  62]	
bar	fic_1966_10473.txt-3245-16	mag_1854_555965.txt-99-21	He  turned  away  from  the  window,  climbed  onto  one  of  the  stools  at  the  breakfast  bar.	Before  a  legal  tribunal,  the  want  of  conclusive  testimony  of  guilt  justifies  an  assumption  of  innocence;  but  at  the  bar  of  public  opinion,  a  man  who  fails  to  repel  suspicion  and  reproach  virtually  indorses  the  correctness  of  the  popular  verdict.	80:83	[80,  83]	116:119	[116,  119]	
bar	fic_2009_36731.txt-175-10	nf_1827_748059.txt-780-6	Wilner  looked  to  where  his  wife  was  standing  at  the  bar.	In  another  set  of  experiments  upon  bars  of  willow  3  feet  long  and  1.5  inch  square,  the  mean  strength  of  6  uncut  bars  was  525  lbs.	52:55	[52,  55]	35:39	[35,  38]	
bar	fic_1981_780049.txt-3544-12	fic_2002_47139.txt-175-11	 "  Yes,  sir,   "  said  the  orderly  from  behind  the  bar.	Mr.  Benson  tipped  his  glass  to  our  reflections  in  the  long  bar  mirror  before  he  turned  to  the  pool  table-It  ain't  the  drank.	47:50	[47,  50]	59:62	[59,  62]	
bar	fic_1966_10473.txt-3245-16	fic_2000_13995.txt-480-6	He  turned  away  from  the  window,  climbed  onto  one  of  the  stools  at  the  breakfast  bar.	MATT  MICKELSON  Was  he  in  the  bar  Tuesday  night?	80:83	[80,  83]	29:32	[29,  32]	
bar	nf_1969_774314.txt-1242-6	mag_1854_555965.txt-99-21	To  make  a  trammel,  this  bar  is  drawn  out  on  the  end  to  a  1/4  -  inch-  square  tang  3-  or  4-inches  long.	Before  a  legal  tribunal,  the  want  of  conclusive  testimony  of  guilt  justifies  an  assumption  of  innocence;  but  at  the  bar  of  public  opinion,  a  man  who  fails  to  repel  suspicion  and  reproach  virtually  indorses  the  correctness  of  the  popular  verdict.	24:27	[24,  27]	116:119	[116,  119]	
bar	fic_1848_7193.txt-12821-20	mag_1999_408585.txt-67-25	Husband  of  my  soul,  to  rank  and  power;  aye  with  your  gold,  I  will  unloose  the  prison  bars  of  Poverty,  and  let  Genius  spread  its  wings,  and  seek  the  Sun.	If  you  enlarge  the  window,  you  may  be  able  to  see  some  of  the  folder's  contents,  but  since  the  window  lacks  scroll  bars,  you  won't  get  very  far.	85:89	[85,  88]	115:119	[115,  118]	
bar	fic_1848_7193.txt-12821-20	mag_2007_390968.txt-43-4	Husband  of  my  soul,  to  rank  and  power;  aye  with  your  gold,  I  will  unloose  the  prison  bars  of  Poverty,  and  let  Genius  spread  its  wings,  and  seek  the  Sun.	He  opened  Momofuku  Noodle  Bar  and  then  Momofuku  Ssm  Bar  in  New  York,  tiny  joints  that  reimagine  ramen  noodles  and  other  Asian  delicacies  for  the  twenty-first  century.   "	85:89	[85,  88]	26:29	[-1,  2]	
bar	fic_1965_10460.txt-3530-4	news_2006_629441.txt-53-23	started  back  to  the  bar  and  she  said,   "  P.  S.  Wilkinson?   "	But  he  and  his  wife  occasionally  spend  time  alone  over  a  plate  of  fresh,  inventive  sushi  at  Sakana  Japanese  Grill  &;  Sushi  Bar.   "	20:23	[20,  23]	123:126	[-1,  2]	
bar	mag_1821_553342.txt-352-17	fic_2000_30931.txt-158-27	A  community  provided  with  ample  resources  against  an  endless  increase  of  members,  and  enjoying  a  free  bar,  a  free  senate,  and  a  free  press,  if  true  to  herself,  must  do  great  things.	In  places,  the  cobbles  gave  way  to  slate  stairs,  and  at  the  far  end,  down  toward  Fountain  Street,  the  neighborhood  was  crowded  with  bars.   "	102:105	[102,  105]	132:136	[132,  135]	
bar	fic_1833_7058.txt-473-28	nf_1969_774314.txt-1305-14	--  you  who  have  created  an  insuperable  barrier  to  our  union,  --  you  who  have  placed  a  chasm  between  us  that  can  never  be  overleapt  --  a  bar  that  can  never  be  taken  down  --  a  --  '   "  Good  heavens!	They  may  be  made  of  %  -  inch  or  1/2  -  inch  rod  or  bar  from  12-  to  18-inches  long,  depending  on  use  and  need.	136:139	[39,  42]	50:53	[50,  53]	
bar	fic_1847_7094.txt-3878-12	fic_1824_7022.txt-122-23	He  strangled  himself  with  his  neckcloth,  and  thus  rushed  to  a  bar  where  suitable  judgment  for  crimes  like  his  could  alone  be  dispensed.	Du  Quesne,  with  whom  we  must  at  present  continue,  repaired  to  New-York,  where,  upon  his  being  admitted  to  the  bar,  as  in  due  time  he  was,  his  mysterious  supply  of  money  was  withheld,  and  he  was  left  without  relatives  or  connexions,  to  make  the  usual  slow  and  uncertain  progress  in  the  business  of  his  profession.	62:65	[62,  65]	110:113	[110,  113]	
bar	nf_1997_746547.txt-708-17	fic_2000_13995.txt-480-6	The  list  shall  be  published  annually  in  the  ABA  Approved  Law  Schools:  Statistical  Information  on  American  Bar  Association  Approved  Law  Schools,  Review  of  Legal  education,  a  publication  which  is  published  by  the  Section  and  single  copies  of  which  are  distributed  by  the  Consultant  upon  request,  without  charge.	MATT  MICKELSON  Was  he  in  the  bar  Tuesday  night?	106:109	[-1,  2]	29:32	[29,  32]	
bar	fic_1853_9158.txt-3216-38	fic_1987_780057.txt-1105-25	Overlooking  from  its  Gothic  bartizan,  the  market-place  of  the  old  city,  stood  one  of  those  gloomy  dwellings,  with  its  turretted  gable  to  the  street,  its  oaken  portal  clenched  with  many  a  massive  spike  and  bar,  and  its  narrow  casements  subdivided  by  stone  transoms,  which  are  yet  to  be  seen  in  several  of  the  Scottish  boroughs,  presenting  evident  traces  of  having  been  erected  in  that  iron  time,  when  every  man's  house  was  in  truth  his  castle.	had  been  a  tall,  proud  man  named  Alfroid;  I  remembered  him  with  some  affection,  since  he  could  tie  loose  knots  in  iron  bars,  and  had  drunk  me  under  the  table  one  evening  --  no,  an  evening  and  a  morning  and  part  of  an  afternoon.	205:208	[28,  31]	119:123	[119,  122]	
bar	nf_1836_749613.txt-826-35	nf_1846_748061.txt-1284-3	The  mouth  of  the  Columbia  is  upwards  of  four  miles  wide  with  a  peninsula  and  promontory  on  one  side,  and  a  long  low  spit  of  land  on  the  other;  between  which  a  sand  bar  and  chain  of  breakers  almost  block  the  entrance.	One  of  the  bars  of  the  prison-  window  had  become  detached,  so  that  it  could  be  removed  without  any  difficulty,  allowing  any  one  of  moderate  dimensions  to  get  through  the  aperture.	164:167	[164,  167]	11:15	[11,  14]	
bar	nf_1834_747938.txt-891-26	nf_1857_753133.txt-433-14	These  were  composed  of  a  box  9,  feet  long,  and  about  the  same  width  and  depth,  formed  by  light  bars,  with  stronger  bars  at  the  corners.	My  impression  is,  that  in  point  of  skill  and  professional  ability  the  Minnesota  bar  is  a  little  above  the  average  of  territorial  bars.	115:119	[95,  98]	80:83	[80,  83]	
bar	mag_1846_524077.txt-140-15	mag_2007_390968.txt-43-4	//  swollen  salary  or  rich  perquisites  had  nourished-too  late  in  life  to  return  to  the  bar,  too  early  to  retire  to  private  life,  even  if  able  to  do  it;  but  destined  to  languish  out  ten  or  fifteen  years  in  poverty  and  ennui,  which  might  have  been  the  most  useful,  respectable,  and  satisfactory  portion  of  their  lives!	He  opened  Momofuku  Noodle  Bar  and  then  Momofuku  Ssm  Bar  in  New  York,  tiny  joints  that  reimagine  ramen  noodles  and  other  Asian  delicacies  for  the  twenty-first  century.   "	86:89	[86,  89]	26:29	[-1,  2]	
bar	fic_1856_1562.txt-456-6	nf_1827_748059.txt-780-6	When  I  was  admitted  to  the  bar  at  twenty-one,  she  was  sixteen  --  the  age  in  our  southern  country  when  a  maiden  looks  her  loveliest.	In  another  set  of  experiments  upon  bars  of  willow  3  feet  long  and  1.5  inch  square,  the  mean  strength  of  6  uncut  bars  was  525  lbs.	27:30	[27,  30]	35:39	[35,  38]	
bar	fic_1997_14534.txt-664-5	nf_1846_748061.txt-1284-3	There  is  a  window  with  bars  on  it  to  keep  BIRDY  from  escaping.	One  of  the  bars  of  the  prison-  window  had  become  detached,  so  that  it  could  be  removed  without  any  difficulty,  allowing  any  one  of  moderate  dimensions  to  get  through  the  aperture.	23:27	[23,  26]	11:15	[11,  14]	
bar	fic_1978_10636.txt-27104-7	mag_1854_555974.txt-331-28	Hear  him  first  at  the  Oxford  Union  bar:   "  Worse  than  the  Visigoths,  worse  than  the  Tartars.	Practically,  we  know  that  nine  tenths  either  goes  to  the  mint  as  soon  as  it  is  washed  out  of  the  earth,  or  is  cast  into  stamped  bars  which  perform  all  the  purposes  of  coin.	35:38	[35,  38]	128:132	[128,  131]	
bar	nf_1852_771569.txt-558-20	mag_1825_553676.txt-2-14	--  Seven  of  the  most  enterprising  whalers  still  hung  on  our  heels,  and  to-day  found  us  all  at  a  bar  beyond  which  there  was  a  sea  of  water.	Edited  by  THOMAS  SERGEANT  and  JOHN  C.  LOWBER,  Esqrs,  of  the  Philadelphia  Bar.	96:99	[96,  99]	73:76	[-1,  2]	
bar	nf_1969_774314.txt-1305-14	news_1982_668343.txt-120-14	They  may  be  made  of  %  -  inch  or  1/2  -  inch  rod  or  bar  from  12-  to  18-inches  long,  depending  on  use  and  need.	One  scary  thing  happened  in  Oakland  this  week  when  a  foul  tip  smashed  the  bar  on  umpire  Larry  Barnett  '  s  face  mask,  sending  him  to  the  hospital.	50:53	[50,  53]	74:77	[74,  77]	
bar	mag_1821_553342.txt-352-17	fic_1843_7208.txt-8758-13	A  community  provided  with  ample  resources  against  an  endless  increase  of  members,  and  enjoying  a  free  bar,  a  free  senate,  and  a  free  press,  if  true  to  herself,  must  do  great  things.	He  speeded  swiftly  into  the  hall;  unfastened  the  door  --  the  old  bar  crumbled  as  he  pulled  it  down  --  and  was  in  the  open  air.	102:105	[102,  105]	65:68	[65,  68]	
bar	mag_1995_414327.txt-11-1	mag_1821_553342.txt-352-17	THERMAL  BARS  Summer  anglers  have  to  follow  nomadic  rainbows  offshore  to  where  walls  of  cold  and  warmer  water  collide.	A  community  provided  with  ample  resources  against  an  endless  increase  of  members,  and  enjoying  a  free  bar,  a  free  senate,  and  a  free  press,  if  true  to  herself,  must  do  great  things.	8:12	[-1,  2]	102:105	[102,  105]	
bar	nf_1844_747607.txt-6839-38	fic_2000_13995.txt-480-6	O  how  wortliless,  how  contemptible  will  all  the  kingdoms  of  the  world,  and  all  the  glory  of  them  seem  to  a  man  on  a  bed  of  pain,  in  the  gate  of  death,  at  the  bar	MATT  MICKELSON  Was  he  in  the  bar  Tuesday  night?	158:161	[158,  161]	29:32	[29,  32]	
bar	fic_2000_52518.txt-317-5	fic_2009_36731.txt-175-10	She's  sitting  at  the  bar  with  Mitch,  tossing  her  hair  and  laughing  and  moving  her  long  fingers  up  his  biceps.	Wilner  looked  to  where  his  wife  was  standing  at  the  bar.	21:24	[21,  24]	52:55	[52,  55]	
bar	nf_1834_747938.txt-891-22	mag_1977_490789.txt-112-14	These  were  composed  of  a  box  9,  feet  long,  and  about  the  same  width  and  depth,  formed  by  light  bars,  with  stronger  bars  at  the  corners.	Between  1913  and  1931,  for  instance,  well-meaning  but  misguided  caretakers  embedded  iron  bars  in  some  of  the  fragile  ruins;  the  bars  have  rusted,  and  the  oxidation  has  caused  expansion  and  cracked  the  surrounding  marble.	95:99	[95,  98]	89:93	[89,  92]	
bar	mag_1854_555974.txt-331-28	fic_1831_7002.txt-2243-7	Practically,  we  know  that  nine  tenths  either  goes  to  the  mint  as  soon  as  it  is  washed  out  of  the  earth,  or  is  cast  into  stamped  bars  which  perform  all  the  purposes  of  coin.	And  the  little  boy  threw  down  the  bars  which  guarded  the  entrance.	128:132	[128,  131]	34:38	[34,  37]	
bar	mag_1840_586555.txt-209-16	fic_2000_13995.txt-480-6	Such,  we  may  safely  venture  to  say,  is  now  the  settled  judgment  of  the  bar  and  the  country.	MATT  MICKELSON  Was  he  in  the  bar  Tuesday  night?	71:74	[71,  74]	29:32	[29,  32]	
bar	mag_1989_492439.txt-6-25	fic_2000_13995.txt-480-6	help  explain  how  pirates  once  used  a  treacherous  narrows  to  prey  on  passing  boats,  or  how  pilots  inched  their  boats  and  barges  past  sand  bars  and  other  dangers.	MATT  MICKELSON  Was  he  in  the  bar  Tuesday  night?	137:141	[120,  123]	29:32	[29,  32]	
bar	nf_1834_747938.txt-892-30	fic_2000_13985.txt-1385-16	Before  and  behind  these  boxes  was  a  screw,  and  there  was  a  spout  to  convey  to  a  vessel,  placed  below,  the  must  which  would  flow  through  the  bars  to  the  bottom  on  the  pressure  being  applied.	MARY  JANE  HANRAHAN  When  you're  acquitted,  Angel,  when  we're  sitting  in  a  bar  together  drinking  beer  and  eating  chicken  wings,  then  make  conversation!	140:144	[140,  143]	73:76	[73,  76]	
bar	fic_1969_10517.txt-622-7	fic_1995_53011.txt-273-18	The  funny  thing  is  that  both  the  bars  and  the  arms  are  bolted  to  the  doors  and  also  to  the  walls  and  I  can't  figure  out  how  they  open.	But  she  hadn't  seen  the  shadow  man  since  the  night  she  brought  the  stranger  home  from  the  bar.	33:37	[33,  36]	90:93	[90,  93]	
bar	mag_1978_490798.txt-68-16	fic_2000_13995.txt-480-6	I  feel  that  the  Cafe  Fanny,  like  another  old  favorite  of  mine,  the  Oyster  Bar,  is  a  big  boost  for  the  renaissance  of  the  Grand  Central  Terminal  Complex.	MATT  MICKELSON  Was  he  in  the  bar  Tuesday  night?	74:77	[-1,  2]	29:32	[29,  32]	
bar	fic_1859_9192.txt-7101-1	mag_1854_555974.txt-331-28	The  bars  and  bolts  are  just  as  I  left  them,   "  said  Bim,   "  black  and  rusty.	Practically,  we  know  that  nine  tenths  either  goes  to  the  mint  as  soon  as  it  is  washed  out  of  the  earth,  or  is  cast  into  stamped  bars  which  perform  all  the  purposes  of  coin.	4:8	[4,  7]	128:132	[128,  131]	
bar	fic_1839_7068.txt-800-5	mag_2005_396762.txt-36-69	I  view  thy  lattice  --  bars  unfold  --  Thy  footstep  lingers  near:  Fond  trembler  lull  those  feverish  throbs,  No  ill  can  reach  thee  here.	NUTRITIONAL  LOWDOWN  180-190  cal,  10  g  pro,  27-28  g  carb,  3-5  g  fat,  1.5-2.5  g  sat  fat,  0  mg  chol,  1-2  g  fiber,  140-170  mg  sodium  FLAVORS  Berry  Banana  Buzz,  Peanut  Butter  n  '  Honey,  Rocket  Chocolate,  Apple  Cinnamon  with  Cranberries  PRICE  PER  BAR  AND  WHERE  TO  BUY  $1.69,  EMS  stores  and  www.honeystinger.com  PRODUCT  CLIF  Nectar  DESCRIPTION  Each  bar  contains  up  to  five  organic  ingredients  and  two  servings  of  fruit.	22:26	[22,  25]	342:345	[342,  345]	
bar	fic_1835_7133.txt-535-26	fic_1824_7022.txt-122-23	Hence  the  expense  is  very  great  for  vessels  of  large  burthen;  and  rather  than  incur  it,  many  ships,  after  being  towed  over  the  bar,  which,  at  this  season,  can  not  be  crossed  otherwise,  work  their  own  way  up  to  town,  which,  with  a  fair  wind,  may  be  effected  in  twenty-four  hours,  the  distance  being  but  one  hundred  and  five  miles;  but  it  not  unfrequently  takes  them  ten  or  fifteen  days.	Du  Quesne,  with  whom  we  must  at  present  continue,  repaired  to  New-York,  where,  upon  his  being  admitted  to  the  bar,  as  in  due  time  he  was,  his  mysterious  supply  of  money  was  withheld,  and  he  was  left  without  relatives  or  connexions,  to  make  the  usual  slow  and  uncertain  progress  in  the  business  of  his  profession.	127:130	[127,  130]	110:113	[110,  113]	
bar	nf_1833_747463.txt-185-12	mag_1825_553676.txt-2-14	The  Commons,  who  are  the  people,  when  ordered  to  the  bar  of  the  Lords,  humbly  present  themselves  bareheaded  before  the  peers,  who  remain  covered.	Edited  by  THOMAS  SERGEANT  and  JOHN  C.  LOWBER,  Esqrs,  of  the  Philadelphia  Bar.	53:56	[53,  56]	73:76	[-1,  2]	
bar	fic_1839_7068.txt-800-5	mag_1825_553676.txt-2-14	I  view  thy  lattice  --  bars  unfold  --  Thy  footstep  lingers  near:  Fond  trembler  lull  those  feverish  throbs,  No  ill  can  reach  thee  here.	Edited  by  THOMAS  SERGEANT  and  JOHN  C.  LOWBER,  Esqrs,  of  the  Philadelphia  Bar.	22:26	[22,  25]	73:76	[-1,  2]	
bar	mag_2009_406395.txt-29-42	nf_1857_753133.txt-433-14	Rather  than  insisting  on  a  packed  lunch,  find  out  what  he  and  his  friends  like  to  do,  and  work  with  that:  He  might  like  to  buy  a  cheeseburger  and  a  milk  in  the  cafeteria,  and  bring  a  granola  bar  and  an  apple  from  home.	My  impression  is,  that  in  point  of  skill  and  professional  ability  the  Minnesota  bar  is  a  little  above  the  average  of  territorial  bars.	191:194	[191,  194]	80:83	[80,  83]	
bar	mag_1977_490789.txt-112-14	fic_1993_25016.txt-1330-5	Between  1913  and  1931,  for  instance,  well-meaning  but  misguided  caretakers  embedded  iron  bars  in  some  of  the  fragile  ruins;  the  bars  have  rusted,  and  the  oxidation  has  caused  expansion  and  cracked  the  surrounding  marble.	She  gave  out  Three  Musketeers  bars  at  our  class  Halloween  party.	89:93	[89,  92]	30:34	[30,  33]	
