l_c_results_id	chosen_order	string_identifier
370|2	mag_1991_422282.txt-25-21,nf_1824_747685.txt-2190-18,fic_2003_30073.txt-45-6,mag_1971_491323.txt-31-34,mag_1852_504512.txt-37-17,fic_2009_36422.txt-25-3	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
372|2	mag_1991_422282.txt-25-21,fic_2009_36422.txt-25-3,fic_2003_30073.txt-45-6,nf_1824_747685.txt-2190-18,mag_1971_491323.txt-31-34,mag_1852_504512.txt-37-17	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
213|2	mag_1991_422282.txt-25-21,nf_1824_747685.txt-2190-18,mag_1971_491323.txt-31-34,fic_2003_30073.txt-45-6,fic_2009_36422.txt-25-3,mag_1852_504512.txt-37-17	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
401|2	mag_1991_422282.txt-25-21,mag_1971_491323.txt-31-34,fic_2009_36422.txt-25-3,mag_1852_504512.txt-37-17,fic_2003_30073.txt-45-6,nf_1824_747685.txt-2190-18	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
281|2	mag_1991_422282.txt-25-21,nf_1824_747685.txt-2190-18,mag_1971_491323.txt-31-34,mag_1852_504512.txt-37-17,fic_2003_30073.txt-45-6,fic_2009_36422.txt-25-3	fic_1966_10474.txt-9144-22||fic_2003_30073.txt-45-6||fic_2009_36422.txt-25-3||mag_1852_504512.txt-37-17||mag_1971_491323.txt-31-34||mag_1991_422282.txt-25-21||nf_1824_747685.txt-2190-18
275|3	mag_2002_385360.txt-30-3,mag_2004_415362.txt-103-15,nf_1992_773879.txt-884-9,news_1988_668892.txt-4-9,mag_2000_403677.txt-77-3,mag_1992_423150.txt-30-24	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
18|3	mag_2002_385360.txt-30-3,mag_2004_415362.txt-103-15,nf_1992_773879.txt-884-9,mag_2000_403677.txt-77-3,news_1988_668892.txt-4-9,mag_1992_423150.txt-30-24	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
176|3	mag_2002_385360.txt-30-3,mag_2004_415362.txt-103-15,nf_1992_773879.txt-884-9,mag_1992_423150.txt-30-24,mag_2000_403677.txt-77-3,news_1988_668892.txt-4-9	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
239|3		mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
85|3	mag_2002_385360.txt-30-3,nf_1992_773879.txt-884-9,mag_2004_415362.txt-103-15,mag_1992_423150.txt-30-24,mag_2000_403677.txt-77-3,news_1988_668892.txt-4-9	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
224|3	mag_2002_385360.txt-30-3,mag_1992_423150.txt-30-24,nf_1992_773879.txt-884-9,mag_2004_415362.txt-103-15,news_1988_668892.txt-4-9,mag_2000_403677.txt-77-3	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
167|3	mag_1992_423150.txt-30-24,mag_2004_415362.txt-103-15,mag_2000_403677.txt-77-3,mag_2002_385360.txt-30-3,news_1988_668892.txt-4-9,nf_1992_773879.txt-884-9	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
84|3	nf_1992_773879.txt-884-9,mag_2002_385360.txt-30-3,mag_2004_415362.txt-103-15,mag_1992_423150.txt-30-24,news_1988_668892.txt-4-9,mag_2000_403677.txt-77-3	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
414|3	mag_2000_403677.txt-77-3,news_1988_668892.txt-4-9,mag_1992_423150.txt-30-24,mag_2002_385360.txt-30-3,nf_1992_773879.txt-884-9,mag_2004_415362.txt-103-15	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
362|3	mag_2002_385360.txt-30-3,mag_2004_415362.txt-103-15,news_1988_668892.txt-4-9,nf_1992_773879.txt-884-9,mag_2000_403677.txt-77-3,mag_1992_423150.txt-30-24	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
279|3	mag_2004_415362.txt-103-15,nf_1992_773879.txt-884-9,mag_2002_385360.txt-30-3,mag_2000_403677.txt-77-3,mag_1992_423150.txt-30-24,news_1988_668892.txt-4-9	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
153|3	mag_2004_415362.txt-103-15,mag_2002_385360.txt-30-3,nf_1992_773879.txt-884-9,news_1988_668892.txt-4-9,mag_1992_423150.txt-30-24,mag_2000_403677.txt-77-3	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
274|3	nf_1992_773879.txt-884-9,mag_2004_415362.txt-103-15,mag_2002_385360.txt-30-3,news_1988_668892.txt-4-9,mag_1992_423150.txt-30-24,mag_2000_403677.txt-77-3	mag_1962_311690.txt-9-8||mag_1992_423150.txt-30-24||mag_2000_403677.txt-77-3||mag_2002_385360.txt-30-3||mag_2004_415362.txt-103-15||news_1988_668892.txt-4-9||nf_1992_773879.txt-884-9
390|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1995_39274.txt-17-38,fic_1856_2470.txt-3106-5,fic_1968_10498.txt-1883-3,fic_1964_781989.txt-1510-8	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
400|4	fic_1827_8772.txt-128-9,fic_1964_781989.txt-1510-8,fic_1995_39274.txt-17-38,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1856_2470.txt-3106-5	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
308|4	fic_1827_8772.txt-128-9,fic_1968_10498.txt-1883-3,fic_1847_2352.txt-2533-11,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
218|4	fic_1968_10498.txt-1883-3,fic_1964_781989.txt-1510-8,fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1995_39274.txt-17-38,fic_1856_2470.txt-3106-5	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
87|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1856_2470.txt-3106-5,fic_1964_781989.txt-1510-8,fic_1968_10498.txt-1883-3,fic_1995_39274.txt-17-38	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
291|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
210|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
195|4	fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1827_8772.txt-128-9,fic_1856_2470.txt-3106-5,fic_1964_781989.txt-1510-8,fic_1995_39274.txt-17-38	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
202|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1964_781989.txt-1510-8,fic_1995_39274.txt-17-38,fic_1856_2470.txt-3106-5,fic_1968_10498.txt-1883-3	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
57|4	fic_1827_8772.txt-128-9,fic_1856_2470.txt-3106-5,fic_1968_10498.txt-1883-3,fic_1964_781989.txt-1510-8,fic_1995_39274.txt-17-38,fic_1847_2352.txt-2533-11	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
258|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8,fic_1968_10498.txt-1883-3	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
387|4	fic_1827_8772.txt-128-9,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
356|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1856_2470.txt-3106-5,fic_1968_10498.txt-1883-3,fic_1964_781989.txt-1510-8,fic_1995_39274.txt-17-38	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
55|4	fic_1847_2352.txt-2533-11,fic_1827_8772.txt-128-9,fic_1968_10498.txt-1883-3,fic_1856_2470.txt-3106-5,fic_1964_781989.txt-1510-8,fic_1995_39274.txt-17-38	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
163|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8,fic_1968_10498.txt-1883-3	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
234|4	fic_1827_8772.txt-128-9,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1968_10498.txt-1883-3,fic_1964_781989.txt-1510-8,fic_1847_2352.txt-2533-11	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
180|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
421|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
179|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
157|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1856_2470.txt-3106-5,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8,fic_1968_10498.txt-1883-3	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
78|4	fic_1995_39274.txt-17-38,fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1964_781989.txt-1510-8,fic_1856_2470.txt-3106-5	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
110|4	fic_1964_781989.txt-1510-8,fic_1856_2470.txt-3106-5,fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1995_39274.txt-17-38	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
69|4	fic_1968_10498.txt-1883-3,fic_1847_2352.txt-2533-11,fic_1827_8772.txt-128-9,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8,fic_1856_2470.txt-3106-5	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
229|4	fic_1827_8772.txt-128-9,fic_1847_2352.txt-2533-11,fic_1968_10498.txt-1883-3,fic_1995_39274.txt-17-38,fic_1964_781989.txt-1510-8,fic_1856_2470.txt-3106-5	mag_1960_246914.txt-5-27||fic_1827_8772.txt-128-9||fic_1847_2352.txt-2533-11||fic_1856_2470.txt-3106-5||fic_1964_781989.txt-1510-8||fic_1995_39274.txt-17-38||fic_1968_10498.txt-1883-3
204|5	mag_1982_298124.txt-17-12,fic_1995_39274.txt-549-6,fic_1846_8819.txt-1554-0,mag_1833_564542.txt-49-6,fic_1995_39279.txt-448-14,fic_1964_10443.txt-4110-1	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
415|5	fic_1995_39274.txt-549-6,fic_1995_39279.txt-448-14,fic_1964_10443.txt-4110-1,mag_1833_564542.txt-49-6,fic_1846_8819.txt-1554-0,mag_1982_298124.txt-17-12	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
71|5	mag_1982_298124.txt-17-12,fic_1964_10443.txt-4110-1,mag_1833_564542.txt-49-6,fic_1846_8819.txt-1554-0,fic_1995_39279.txt-448-14,fic_1995_39274.txt-549-6	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
82|5	fic_1995_39279.txt-448-14,fic_1995_39274.txt-549-6,fic_1846_8819.txt-1554-0,fic_1964_10443.txt-4110-1,mag_1982_298124.txt-17-12,mag_1833_564542.txt-49-6	mag_2005_380198.txt-2-51||fic_1846_8819.txt-1554-0||fic_1964_10443.txt-4110-1||fic_1995_39274.txt-549-6||fic_1995_39279.txt-448-14||mag_1833_564542.txt-49-6||mag_1982_298124.txt-17-12
