lemma	attacker_indexes	spearman_correlation	error_distance	real_order	attacker_order
fixed	[2, 3, 1]	-0.5	4	['fic_1856_9779.txt-7652-36', 'fic_1853_9142.txt-2686-17', 'mag_1846_524014.txt-303-22']	['fic_1853_9142.txt-2686-17', 'mag_1846_524014.txt-303-22', 'fic_1856_9779.txt-7652-36']
fixed	[1, 2, 3]	1.0	0	['fic_1852_2364.txt-6112-60', 'mag_1828_553929.txt-364-34', 'fic_1858_1282.txt-1444-24']	['fic_1852_2364.txt-6112-60', 'mag_1828_553929.txt-364-34', 'fic_1858_1282.txt-1444-24']
fixed	[1, 2, 3]	1.0	0	['nf_1975_773861.txt-1436-17', 'fic_1982_780051.txt-4396-7', 'fic_1838_7085.txt-2157-17']	['nf_1975_773861.txt-1436-17', 'fic_1982_780051.txt-4396-7', 'fic_1838_7085.txt-2157-17']
fixed	[1, 3, 2]	0.5	2	['news_1998_626765.txt-4-8', 'mag_1828_553929.txt-364-34', 'fic_1998_43533.txt-4-2']	['news_1998_626765.txt-4-8', 'fic_1998_43533.txt-4-2', 'mag_1828_553929.txt-364-34']
fixed	[1, 2, 3]	1.0	0	['news_1967_726451.txt-39-2', 'mag_1994_425594.txt-9-10', 'fic_1848_1279.txt-1511-47']	['news_1967_726451.txt-39-2', 'mag_1994_425594.txt-9-10', 'fic_1848_1279.txt-1511-47']
fixed	[2, 1, 3]	0.5	2	['fic_2009_36778.txt-461-18', 'fic_1854_9193.txt-8301-13', 'mag_1972_278489.txt-11-19']	['fic_1854_9193.txt-8301-13', 'fic_2009_36778.txt-461-18', 'mag_1972_278489.txt-11-19']
fixed	[2, 3, 1]	-0.5	4	['mag_1838_586203.txt-253-10', 'mag_2005_417079.txt-188-8', 'mag_2007_387325.txt-12-20']	['mag_2005_417079.txt-188-8', 'mag_2007_387325.txt-12-20', 'mag_1838_586203.txt-253-10']
fixed	[1, 2, 3]	1.0	0	['fic_1855_1209.txt-770-29', 'fic_1835_7134.txt-2235-79', 'fic_1982_780051.txt-4396-7']	['fic_1855_1209.txt-770-29', 'fic_1835_7134.txt-2235-79', 'fic_1982_780051.txt-4396-7']
fixed	[3, 1, 2]	-0.5	4	['mag_1854_555935.txt-131-30', 'mag_1828_553929.txt-364-34', 'fic_1833_7239.txt-1694-15']	['fic_1833_7239.txt-1694-15', 'mag_1854_555935.txt-131-30', 'mag_1828_553929.txt-364-34']
fixed	[1, 3, 2]	0.5	2	['fic_1844_3928.txt-3118-8', 'news_1991_612479.txt-40-20', 'nf_1982_774241.txt-1410-26']	['fic_1844_3928.txt-3118-8', 'nf_1982_774241.txt-1410-26', 'news_1991_612479.txt-40-20']
fixed	[1, 3, 2]	0.5	2	['nf_1968_773502.txt-1151-10', 'mag_1846_524014.txt-26-2', 'mag_1828_553929.txt-364-34']	['nf_1968_773502.txt-1151-10', 'mag_1828_553929.txt-364-34', 'mag_1846_524014.txt-26-2']
fixed	[3, 1, 2]	-0.5	4	['fic_1982_780051.txt-4396-7', 'fic_1854_9193.txt-8301-13', 'mag_2004_365334.txt-2-9']	['mag_2004_365334.txt-2-9', 'fic_1982_780051.txt-4396-7', 'fic_1854_9193.txt-8301-13']
fixed	[2, 1, 3, 4]	0.7999999999999999	2	['news_1991_612479.txt-40-20', 'mag_1840_586558.txt-356-49', 'fic_1839_7024.txt-2377-9', 'nf_1829_751465.txt-2786-42']	['mag_1840_586558.txt-356-49', 'news_1991_612479.txt-40-20', 'fic_1839_7024.txt-2377-9', 'nf_1829_751465.txt-2786-42']
fixed	[3, 2, 1]	-1.0	4	['fic_1962_781986.txt-3553-2', 'mag_2001_416183.txt-158-8', 'mag_1972_278489.txt-11-19']	['mag_1972_278489.txt-11-19', 'mag_2001_416183.txt-158-8', 'fic_1962_781986.txt-3553-2']
fixed	[1, 2, 3]	1.0	0	['fic_1839_7024.txt-2377-9', 'fic_1856_2470.txt-7252-13', 'mag_1840_586558.txt-356-49']	['fic_1839_7024.txt-2377-9', 'fic_1856_2470.txt-7252-13', 'mag_1840_586558.txt-356-49']
fixed	[2, 1, 3]	0.5	2	['nf_1977_773747.txt-57-27', 'news_1966_725841.txt-34-33', 'mag_1828_553929.txt-364-34']	['news_1966_725841.txt-34-33', 'nf_1977_773747.txt-57-27', 'mag_1828_553929.txt-364-34']
fixed	[1, 3, 2]	0.5	2	['news_1987_669591.txt-19-7', 'fic_1854_9193.txt-8301-13', 'mag_1994_425594.txt-9-10']	['news_1987_669591.txt-19-7', 'mag_1994_425594.txt-9-10', 'fic_1854_9193.txt-8301-13']
fixed	[1, 3, 2]	0.5	2	['fic_1853_9142.txt-2686-17', 'news_1965_724563.txt-1-1', 'mag_1846_524014.txt-303-22']	['fic_1853_9142.txt-2686-17', 'mag_1846_524014.txt-303-22', 'news_1965_724563.txt-1-1']
fixed	[1, 3, 2]	0.5	2	['mag_1832_564307.txt-140-16', 'mag_1854_555935.txt-131-30', 'fic_1994_54174.txt-61-23']	['mag_1832_564307.txt-140-16', 'fic_1994_54174.txt-61-23', 'mag_1854_555935.txt-131-30']
fixed	[2, 3, 1]	-0.5	4	['fic_1853_9142.txt-2686-17', 'fic_1982_780070.txt-3698-5', 'fic_1858_1282.txt-1444-24']	['fic_1982_780070.txt-3698-5', 'fic_1858_1282.txt-1444-24', 'fic_1853_9142.txt-2686-17']
fixed	[1, 3, 2]	0.5	2	['mag_1981_295135.txt-17-16', 'fic_1848_7009.txt-1181-32', 'mag_1854_555935.txt-131-30']	['mag_1981_295135.txt-17-16', 'mag_1854_555935.txt-131-30', 'fic_1848_7009.txt-1181-32']
fixed	[1, 2, 3]	1.0	0	['fic_1968_781997.txt-4233-2', 'mag_1828_553929.txt-364-34', 'fic_1858_1282.txt-1444-24']	['fic_1968_781997.txt-4233-2', 'mag_1828_553929.txt-364-34', 'fic_1858_1282.txt-1444-24']
fixed	[1, 2, 3]	1.0	0	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1850_589167.txt-126-1']	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1850_589167.txt-126-1']
fixed	[2, 3, 1]	-0.5	4	['fic_1859_9037.txt-2260-41', 'fic_1993_25026.txt-440-9', 'fic_1844_3928.txt-3118-8']	['fic_1993_25026.txt-440-9', 'fic_1844_3928.txt-3118-8', 'fic_1859_9037.txt-2260-41']
fixed	[3, 2, 1]	-1.0	4	['fic_2009_36778.txt-461-18', 'news_1997_611600.txt-65-2', 'mag_1846_524014.txt-303-22']	['mag_1846_524014.txt-303-22', 'news_1997_611600.txt-65-2', 'fic_2009_36778.txt-461-18']
fixed	[1, 2, 3]	1.0	0	['nf_1844_749098.txt-1617-40', 'mag_1993_424232.txt-41-14', 'fic_1988_780054.txt-2791-11']	['nf_1844_749098.txt-1617-40', 'mag_1993_424232.txt-41-14', 'fic_1988_780054.txt-2791-11']
fixed	[1, 2, 3]	1.0	0	['fic_1856_2655.txt-4746-13', 'news_1967_726451.txt-39-2', 'mag_1982_490856.txt-85-5']	['fic_1856_2655.txt-4746-13', 'news_1967_726451.txt-39-2', 'mag_1982_490856.txt-85-5']
fixed	[1, 2, 3]	1.0	0	['mag_2002_398773.txt-149-9', 'fic_1993_25035.txt-820-7', 'mag_1828_553929.txt-364-34']	['mag_2002_398773.txt-149-9', 'fic_1993_25035.txt-820-7', 'mag_1828_553929.txt-364-34']
fixed	[1, 4, 2, 3]	0.39999999999999997	4	['mag_2007_387325.txt-12-20', 'news_1997_611600.txt-65-2', 'mag_1828_553929.txt-364-34', 'nf_1847_754437.txt-1509-47']	['mag_2007_387325.txt-12-20', 'nf_1847_754437.txt-1509-47', 'news_1997_611600.txt-65-2', 'mag_1828_553929.txt-364-34']
fixed	[1, 3, 2]	0.5	2	['mag_1832_564239.txt-203-30', 'news_2001_661977.txt-17-13', 'fic_1993_25035.txt-820-7']	['mag_1832_564239.txt-203-30', 'fic_1993_25035.txt-820-7', 'news_2001_661977.txt-17-13']
fixed	[1, 2, 4, 3]	0.7999999999999999	2	['fic_2002_30623.txt-303-9', 'nf_2001_746877.txt-82-18', 'news_1997_611600.txt-65-2', 'fic_1838_7085.txt-2157-17']	['fic_2002_30623.txt-303-9', 'nf_2001_746877.txt-82-18', 'fic_1838_7085.txt-2157-17', 'news_1997_611600.txt-65-2']
fixed	[1, 2, 3]	1.0	0	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_2007_387325.txt-12-20']	['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_2007_387325.txt-12-20']
fixed	[1, 2, 3, 4]	1.0	0	['mag_2007_387325.txt-12-20', 'mag_1846_524014.txt-303-22', 'news_1984_670941.txt-14-43', 'fic_1843_7166.txt-1590-9']	['mag_2007_387325.txt-12-20', 'mag_1846_524014.txt-303-22', 'news_1984_670941.txt-14-43', 'fic_1843_7166.txt-1590-9']
fixed	[3, 1, 2]	-0.5	4	['fic_1858_1282.txt-1444-24', 'mag_1845_555245.txt-299-1', 'mag_1834_554263.txt-306-48']	['mag_1834_554263.txt-306-48', 'fic_1858_1282.txt-1444-24', 'mag_1845_555245.txt-299-1']
fixed	[1, 2, 3]	1.0	0	['fic_1993_25035.txt-820-7', 'mag_1980_296744.txt-5-30', 'fic_1848_1279.txt-1511-47']	['fic_1993_25035.txt-820-7', 'mag_1980_296744.txt-5-30', 'fic_1848_1279.txt-1511-47']
fixed	[1, 3, 2]	0.5	2	['fic_1970_753.txt-715-8', 'fic_1995_39408.txt-194-29', 'mag_2001_416301.txt-220-11']	['fic_1970_753.txt-715-8', 'mag_2001_416301.txt-220-11', 'fic_1995_39408.txt-194-29']
fixed	[2, 1, 3]	0.5	2	['fic_1982_23959.txt-415-34', 'mag_1835_554345.txt-434-24', 'mag_2001_416301.txt-220-11']	['mag_1835_554345.txt-434-24', 'fic_1982_23959.txt-415-34', 'mag_2001_416301.txt-220-11']
fixed	[2, 4, 3, 1]	-0.39999999999999997	6	['mag_1998_400540.txt-41-7', 'nf_1852_771569.txt-1631-28', 'mag_2002_392308.txt-25-30', 'fic_2005_28065.txt-108-10']	['nf_1852_771569.txt-1631-28', 'fic_2005_28065.txt-108-10', 'mag_2002_392308.txt-25-30', 'mag_1998_400540.txt-41-7']
fixed	[3, 1, 2]	-0.5	4	['fic_2005_28065.txt-108-10', 'fic_1988_780054.txt-731-6', 'nf_1852_771569.txt-1631-28']	['nf_1852_771569.txt-1631-28', 'fic_2005_28065.txt-108-10', 'fic_1988_780054.txt-731-6']
fixed	[2, 3, 1]	-0.5	4	['fic_1851_746.txt-5047-7', 'mag_1835_565001.txt-70-21', 'fic_2005_28065.txt-108-10']	['mag_1835_565001.txt-70-21', 'fic_2005_28065.txt-108-10', 'fic_1851_746.txt-5047-7']
fixed	[2, 3, 1]	-0.5	4	['fic_1979_16368.txt-854-10', 'fic_1995_39408.txt-194-29', 'nf_1846_748061.txt-1629-50']	['fic_1995_39408.txt-194-29', 'nf_1846_748061.txt-1629-50', 'fic_1979_16368.txt-854-10']
fixed	[2, 3, 1]	-0.5	4	['fic_1821_8985.txt-298-12', 'mag_1835_554345.txt-434-24', 'fic_1851_746.txt-8848-1']	['mag_1835_554345.txt-434-24', 'fic_1851_746.txt-8848-1', 'fic_1821_8985.txt-298-12']
fixed	[3, 1, 2]	-0.5	4	['fic_1995_39408.txt-194-29', 'fic_1836_7053.txt-4705-44', 'mag_2001_416301.txt-220-11']	['mag_2001_416301.txt-220-11', 'fic_1995_39408.txt-194-29', 'fic_1836_7053.txt-4705-44']
fixed	[4, 1, 2, 3]	-0.19999999999999998	6	['mag_2001_416301.txt-220-11', 'nf_1834_755185.txt-797-5', 'fic_2007_52366.txt-849-7', 'mag_1835_554345.txt-434-24']	['mag_1835_554345.txt-434-24', 'mag_2001_416301.txt-220-11', 'nf_1834_755185.txt-797-5', 'fic_2007_52366.txt-849-7']
fixed	[1, 3, 4, 2]	0.39999999999999997	4	['mag_1854_566434.txt-121-2', 'fic_1855_2661.txt-1289-23', 'fic_1995_53012.txt-167-5', 'fic_1842_555.txt-2985-38']	['mag_1854_566434.txt-121-2', 'fic_1995_53012.txt-167-5', 'fic_1842_555.txt-2985-38', 'fic_1855_2661.txt-1289-23']
fixed	[1, 2, 3]	1.0	0	['fic_1971_10537.txt-7046-16', 'news_1989_670792.txt-27-3', 'fic_1823_7241.txt-6369-39']	['fic_1971_10537.txt-7046-16', 'news_1989_670792.txt-27-3', 'fic_1823_7241.txt-6369-39']
fixed	[1, 3, 2]	0.5	2	['fic_2008_36315.txt-261-17', 'nf_1855_771880.txt-246-8', 'fic_1855_1273.txt-2451-29']	['fic_2008_36315.txt-261-17', 'fic_1855_1273.txt-2451-29', 'nf_1855_771880.txt-246-8']
fixed	[2, 1, 4, 3]	0.6000000000000001	4	['fic_1822_7275.txt-583-127', 'fic_1842_7206.txt-3298-50', 'nf_1854_750818.txt-967-13', 'news_1995_641078.txt-228-4']	['fic_1842_7206.txt-3298-50', 'fic_1822_7275.txt-583-127', 'news_1995_641078.txt-228-4', 'nf_1854_750818.txt-967-13']
fixed	[4, 2, 3, 1]	-0.7999999999999999	6	['fic_1856_1562.txt-4022-8', 'mag_1994_352587.txt-5-22', 'fic_1840_9329.txt-1163-29', 'fic_1845_7183.txt-96-4']	['fic_1845_7183.txt-96-4', 'mag_1994_352587.txt-5-22', 'fic_1840_9329.txt-1163-29', 'fic_1856_1562.txt-4022-8']
fixed	[1, 2, 3, 4]	1.0	0	['fic_1823_7242.txt-4039-10', 'mag_1854_566434.txt-121-2', 'fic_1977_780095.txt-2758-17', 'fic_1823_7214.txt-685-52']	['fic_1823_7242.txt-4039-10', 'mag_1854_566434.txt-121-2', 'fic_1977_780095.txt-2758-17', 'fic_1823_7214.txt-685-52']
fixed	[1, 3, 4, 2]	0.39999999999999997	4	['fic_1855_9098.txt-7088-31', 'fic_1973_10570.txt-1937-3', 'fic_1823_7241.txt-6369-39', 'fic_1971_10537.txt-7046-16']	['fic_1855_9098.txt-7088-31', 'fic_1823_7241.txt-6369-39', 'fic_1971_10537.txt-7046-16', 'fic_1973_10570.txt-1937-3']
fixed	[2, 3, 1]	-0.5	4	['fic_1820_7562.txt-1098-10', 'fic_1858_1282.txt-3605-39', 'fic_2006_27868.txt-198-8']	['fic_1858_1282.txt-3605-39', 'fic_2006_27868.txt-198-8', 'fic_1820_7562.txt-1098-10']
fixed	[1, 3, 2]	0.5	2	['fic_1842_555.txt-2985-38', 'nf_1830_754783.txt-1206-13', 'fic_1986_16266.txt-1941-23']	['fic_1842_555.txt-2985-38', 'fic_1986_16266.txt-1941-23', 'nf_1830_754783.txt-1206-13']
fixed	[3, 2, 1, 4]	0.19999999999999998	4	['fic_2008_36315.txt-261-17', 'fic_1846_8891.txt-2822-24', 'fic_1840_9329.txt-1163-29', 'fic_1859_9220.txt-2340-13']	['fic_1840_9329.txt-1163-29', 'fic_1846_8891.txt-2822-24', 'fic_2008_36315.txt-261-17', 'fic_1859_9220.txt-2340-13']
fixed	[1, 2, 3, 4]	1.0	0	['nf_1855_750257.txt-1221-22', 'fic_1964_780000.txt-1166-5', 'fic_1976_14078.txt-70-41', 'mag_1989_492445.txt-76-35']	['nf_1855_750257.txt-1221-22', 'fic_1964_780000.txt-1166-5', 'fic_1976_14078.txt-70-41', 'mag_1989_492445.txt-76-35']
fixed	[1, 4, 2, 3]	0.39999999999999997	4	['fic_2000_27978.txt-555-1', 'fic_2004_31412.txt-112-31', 'news_1995_638675.txt-31-28', 'nf_1829_747550.txt-23-5']	['fic_2000_27978.txt-555-1', 'nf_1829_747550.txt-23-5', 'fic_2004_31412.txt-112-31', 'news_1995_638675.txt-31-28']
fixed	[1, 3, 2, 4]	0.7999999999999999	2	['fic_1853_9158.txt-2284-13', 'fic_1854_9826.txt-3817-39', 'mag_1999_404416.txt-81-13', 'fic_1854_9218.txt-3589-17']	['fic_1853_9158.txt-2284-13', 'mag_1999_404416.txt-81-13', 'fic_1854_9826.txt-3817-39', 'fic_1854_9218.txt-3589-17']
fixed	[1, 3, 4, 2]	0.39999999999999997	4	['fic_2008_36315.txt-261-17', 'fic_1840_9329.txt-1163-29', 'fic_1998_14643.txt-1259-34', 'news_1977_732915.txt-20-33']	['fic_2008_36315.txt-261-17', 'fic_1998_14643.txt-1259-34', 'news_1977_732915.txt-20-33', 'fic_1840_9329.txt-1163-29']
fixed	[1, 2, 3]	1.0	0	['mag_1970_479117.txt-88-13', 'fic_2000_27978.txt-555-1', 'fic_1842_555.txt-2985-38']	['mag_1970_479117.txt-88-13', 'fic_2000_27978.txt-555-1', 'fic_1842_555.txt-2985-38']
fixed	[1, 2, 3, 4]	1.0	0	['fic_1834_7030.txt-1898-27', 'fic_2007_52344.txt-67-3', 'fic_2004_31412.txt-112-31', 'fic_1854_9218.txt-3589-17']	['fic_1834_7030.txt-1898-27', 'fic_2007_52344.txt-67-3', 'fic_2004_31412.txt-112-31', 'fic_1854_9218.txt-3589-17']
fixed	[1, 3, 2, 4]	0.7999999999999999	2	['fic_1842_7158.txt-667-25', 'nf_1856_769051.txt-1887-14', 'fic_1845_7183.txt-96-4', 'nf_1838_747482.txt-1194-43']	['fic_1842_7158.txt-667-25', 'fic_1845_7183.txt-96-4', 'nf_1856_769051.txt-1887-14', 'nf_1838_747482.txt-1194-43']
fixed	[1, 2, 3]	1.0	0	['fic_1839_7011.txt-542-29', 'fic_1856_2880.txt-2955-39', 'fic_1855_9053.txt-7001-1']	['fic_1839_7011.txt-542-29', 'fic_1856_2880.txt-2955-39', 'fic_1855_9053.txt-7001-1']
fixed	[4, 1, 3, 2]	-0.39999999999999997	6	['fic_1854_9218.txt-3589-17', 'nf_1855_750257.txt-1221-22', 'nf_1979_774342.txt-1216-30', 'mag_2004_413914.txt-69-11']	['mag_2004_413914.txt-69-11', 'fic_1854_9218.txt-3589-17', 'nf_1979_774342.txt-1216-30', 'nf_1855_750257.txt-1221-22']
fixed	[2, 3, 1]	-0.5	4	['mag_1988_90553.txt-39-23', 'fic_1847_1094.txt-1927-13', 'nf_1838_747482.txt-1194-43']	['fic_1847_1094.txt-1927-13', 'nf_1838_747482.txt-1194-43', 'mag_1988_90553.txt-39-23']
fixed	[1, 4, 3, 2]	0.19999999999999998	4	['fic_1848_7193.txt-531-19', 'mag_1989_492445.txt-76-35', 'fic_1994_41224.txt-397-7', 'fic_1842_555.txt-2985-38']	['fic_1848_7193.txt-531-19', 'fic_1842_555.txt-2985-38', 'fic_1994_41224.txt-397-7', 'mag_1989_492445.txt-76-35']
fixed	[1, 3, 2, 4]	0.7999999999999999	2	['mag_2004_413914.txt-62-11', 'nf_1856_769051.txt-1887-14', 'mag_1835_554348.txt-508-19', 'mag_1972_490038.txt-125-6']	['mag_2004_413914.txt-62-11', 'mag_1835_554348.txt-508-19', 'nf_1856_769051.txt-1887-14', 'mag_1972_490038.txt-125-6']
fixed	[2, 3, 1]	-0.5	4	['mag_2007_389278.txt-46-14', 'mag_1988_90553.txt-39-23', 'fic_1842_555.txt-2985-38']	['mag_1988_90553.txt-39-23', 'fic_1842_555.txt-2985-38', 'mag_2007_389278.txt-46-14']
fixed	[1, 2, 3, 4]	1.0	0	['fic_1834_7030.txt-1386-21', 'mag_1985_123519.txt-271-14', 'fic_1965_13271.txt-12-9', 'fic_1842_555.txt-2985-38']	['fic_1834_7030.txt-1386-21', 'mag_1985_123519.txt-271-14', 'fic_1965_13271.txt-12-9', 'fic_1842_555.txt-2985-38']
fixed	[3, 1, 2]	-0.5	4	['fic_1839_7011.txt-542-29', 'news_1995_641078.txt-228-4', 'mag_2002_384996.txt-52-8']	['mag_2002_384996.txt-52-8', 'fic_1839_7011.txt-542-29', 'news_1995_641078.txt-228-4']
fixed	[2, 3, 1, 4]	0.39999999999999997	4	['fic_1840_9329.txt-1163-29', 'fic_2006_27868.txt-115-4', 'mag_1980_490829.txt-159-19', 'fic_1842_7206.txt-3298-50']	['fic_2006_27868.txt-115-4', 'mag_1980_490829.txt-159-19', 'fic_1840_9329.txt-1163-29', 'fic_1842_7206.txt-3298-50']
fixed	[2, 3, 1]	-0.5	4	['fic_1822_7244.txt-7880-15', 'fic_2009_36543.txt-144-3', 'fic_1842_7206.txt-3298-50']	['fic_2009_36543.txt-144-3', 'fic_1842_7206.txt-3298-50', 'fic_1822_7244.txt-7880-15']
fixed	[1, 3, 2, 4]	0.7999999999999999	2	['fic_1856_5515.txt-2161-23', 'fic_1843_7208.txt-4384-11', 'mag_1854_566434.txt-121-2', 'fic_1856_2880.txt-5292-4']	['fic_1856_5515.txt-2161-23', 'mag_1854_566434.txt-121-2', 'fic_1843_7208.txt-4384-11', 'fic_1856_2880.txt-5292-4']
fixed	[1, 2, 3, 4]	1.0	0	['fic_1827_9757.txt-2290-11', 'fic_1998_14643.txt-1259-34', 'fic_1973_10570.txt-1937-3', 'fic_1842_7206.txt-3298-50']	['fic_1827_9757.txt-2290-11', 'fic_1998_14643.txt-1259-34', 'fic_1973_10570.txt-1937-3', 'fic_1842_7206.txt-3298-50']
fixed	[1, 4, 3, 2]	0.19999999999999998	4	['fic_1834_7030.txt-1791-42', 'nf_1855_771880.txt-246-8', 'nf_1979_774342.txt-1216-30', 'fic_1845_7183.txt-96-4']	['fic_1834_7030.txt-1791-42', 'fic_1845_7183.txt-96-4', 'nf_1979_774342.txt-1216-30', 'nf_1855_771880.txt-246-8']
fixed	[2, 1, 3]	0.5	2	['news_1995_641078.txt-228-4', 'nf_1855_750257.txt-1221-22', 'fic_1842_7206.txt-3298-50']	['nf_1855_750257.txt-1221-22', 'news_1995_641078.txt-228-4', 'fic_1842_7206.txt-3298-50']
fixed	[1, 2, 3]	1.0	0	['fic_1839_7088.txt-3560-5', 'mag_1975_285963.txt-23-17', 'fic_1842_555.txt-2985-38']	['fic_1839_7088.txt-3560-5', 'mag_1975_285963.txt-23-17', 'fic_1842_555.txt-2985-38']
fixed	[2, 1, 3]	0.5	2	['fic_1848_1279.txt-533-22', 'fic_1856_2880.txt-2955-39', 'nf_1855_750257.txt-1221-22']	['fic_1856_2880.txt-2955-39', 'fic_1848_1279.txt-533-22', 'nf_1855_750257.txt-1221-22']
fixed	[3, 2, 1]	-1.0	4	['nf_1855_750257.txt-1221-22', 'fic_2007_52171.txt-163-54', 'fic_1971_10537.txt-7046-16']	['fic_1971_10537.txt-7046-16', 'fic_2007_52171.txt-163-54', 'nf_1855_750257.txt-1221-22']
fixed	[2, 1, 3]	0.5	2	['fic_1853_7455.txt-744-1', 'mag_1970_479117.txt-88-13', 'fic_1842_7206.txt-3298-50']	['mag_1970_479117.txt-88-13', 'fic_1853_7455.txt-744-1', 'fic_1842_7206.txt-3298-50']
fixed	[1, 3, 2]	0.5	2	['news_1995_641078.txt-228-4', 'nf_1854_750818.txt-967-13', 'fic_1842_7206.txt-3298-50']	['news_1995_641078.txt-228-4', 'fic_1842_7206.txt-3298-50', 'nf_1854_750818.txt-967-13']
fixed	[1, 3, 2, 4]	0.7999999999999999	2	['mag_1844_555207.txt-157-51', 'news_2006_607707.txt-38-20', 'fic_1976_14078.txt-70-41', 'fic_1854_9218.txt-3589-17']	['mag_1844_555207.txt-157-51', 'fic_1976_14078.txt-70-41', 'news_2006_607707.txt-38-20', 'fic_1854_9218.txt-3589-17']
fixed	[1, 4, 3, 2]	0.19999999999999998	4	['fic_1840_9329.txt-1163-29', 'fic_1834_7030.txt-1386-21', 'mag_1989_492445.txt-76-35', 'fic_1860_2807.txt-3829-12']	['fic_1840_9329.txt-1163-29', 'fic_1860_2807.txt-3829-12', 'mag_1989_492445.txt-76-35', 'fic_1834_7030.txt-1386-21']
fixed	[4, 1, 3, 2]	-0.39999999999999997	6	['fic_1860_9165.txt-196-14', 'news_2006_607707.txt-38-20', 'nf_1855_771880.txt-246-8', 'fic_1849_7196.txt-661-9']	['fic_1849_7196.txt-661-9', 'fic_1860_9165.txt-196-14', 'nf_1855_771880.txt-246-8', 'news_2006_607707.txt-38-20']
fixed	[1, 2, 4, 3]	0.7999999999999999	2	['fic_1859_9220.txt-2340-13', 'mag_1856_576366.txt-108-8', 'fic_1967_10489.txt-1997-3', 'mag_1988_90553.txt-39-23']	['fic_1859_9220.txt-2340-13', 'mag_1856_576366.txt-108-8', 'mag_1988_90553.txt-39-23', 'fic_1967_10489.txt-1997-3']
fixed	[1, 3, 2]	0.5	2	['mag_2003_85197.txt-19-12', 'nf_1849_747900.txt-2608-10', 'fic_1842_555.txt-2985-38']	['mag_2003_85197.txt-19-12', 'fic_1842_555.txt-2985-38', 'nf_1849_747900.txt-2608-10']
fixed	[1, 2, 3]	1.0	0	['fic_1852_2364.txt-2112-3', 'mag_1835_554348.txt-508-19', 'fic_1842_7206.txt-3298-50']	['fic_1852_2364.txt-2112-3', 'mag_1835_554348.txt-508-19', 'fic_1842_7206.txt-3298-50']
