identifier	lemma	identifier_sense	comment	annotator
2532889X_1968-04-03_01_171.tcf.xml-21-18	abbauen	sense3	 	annotatorC
2532889X_1964-01-31_01_179.tcf.xml-239-7	abbauen	sense3	 	annotatorC
baumstark_encyclopaedie_1835-3425-29	abbauen	sense2	 	annotatorC
2532889X_1969-09-07_01_200.tcf.xml-37-16	abbauen	sense3	 	annotatorC
baumstark_encyclopaedie_1835-3530-19	abbauen	sense1	 	annotatorC
2532889X_1986-01-14_01_031.tcf.xml-60-15	abbauen	sense3	 	annotatorC
beck_eisen02_1895-1009-4	abbauen	sense1	 	annotatorC
26120215_1970_09_26_01_179.tcf.xml-10-20	abbauen	sense2	 	annotatorC
26120215_1963_04_07_01_034.tcf.xml-54-28	abbauen	sense3	 	annotatorC
berg_ostasien04_1873-4792-15	abbauen	sense2	 	annotatorC
2532889X_1976-11-18_01_091.tcf.xml-47-20	abbauen	sense3	 	annotatorC
humboldt_gutachten_1838-60-41	abbauen	sense1	 	annotatorC
beck_eisen03_1897-14128-14	abbauen	sense1	 	annotatorC
nn_maehrisches166_1893-368-17	abbauen	sense3	 	annotatorC
26120215_1984_08_02_01_043.tcf.xml-10-15	abbauen	sense2	 	annotatorC
beck_eisen03_1897-15224-3	abbauen	sense1	 	annotatorC
baumstark_encyclopaedie_1835-3510-14	abbauen	sense2	 	annotatorC
beck_eisen02_1895-1381-74	abbauen	sense1	 	annotatorC
quenstedt_mineralogie_1854-11664-6	abbauen	sense1	 	annotatorC
2532889X_1959-03-13_01_104.tcf.xml-29-34	abbauen	sense3	 	annotatorC
2532889X_1978-07-21_01_096.tcf.xml-14-30	abbauen	sense3	 	annotatorC
beck_eisen02_1895-1004-17	abbauen	sense1	 	annotatorC
2532889X_1990-04-28_01_305.tcf.xml-4-29	abbauen	sense3	 	annotatorC
2532889X_1977-08-26_01_087.tcf.xml-25-45	abbauen	sense3	 	annotatorC
beck_eisen01_1884-8131-33	abbauen	sense1	 	annotatorC
beck_eisen02_1895-19646-33	abbauen	sense1	 	annotatorC
2532889X_1972-11-27_01_085.tcf.xml-12-5	abbauen	sense3	 	annotatorC
quenstedt_mineralogie_1854-14158-25	abbauen	sense1	 	annotatorC
2532889X_1965-03-07_01_234.tcf.xml-32-9	abbauen	sense3	 	annotatorC
quenstedt_mineralogie_1854-11683-34	abbauen	sense1	 	annotatorC
26120215_1966_04_29_01_295.tcf.xml-3-18	abbauen	sense3	 	annotatorC
baumstark_encyclopaedie_1835-3477-40	abbauen	sense2	 	annotatorC
beck_eisen02_1895-18933-5	abbauen	sense1	 	annotatorC
beck_eisen02_1895-703-21	abbauen	sense1	 	annotatorC
2532889X_1964-09-02_01_107.tcf.xml-102-33	abbauen	sense0	 	annotatorC
beck_eisen03_1897-17045-9	abbauen	sense1	 	annotatorC
26120215_1989_07_26_01_156.tcf.xml-20-11	abbauen	sense3	 	annotatorC
26120215_1968_09_29_01_271.tcf.xml-44-16	abbauen	sense3	 	annotatorC
quenstedt_mineralogie_1854-14077-13	abbauen	sense1	 	annotatorC
baumstark_encyclopaedie_1835-3348-26	abbauen	sense2	 	annotatorC
26120215_1970_07_23_01_183.tcf.xml-22-11	abbauen	sense3	 	annotatorC
