	identifier1	identifier2	lemma	dataset	annotator2	annotator5	annotator4	annotator0	annotator1	annotator3	annotator6	annotator8	annotator9	median_label	non_nan_count
351	fic_1847_8919.txt-1065-12	mag_1841_554975.txt-467-21	bar	dwug_en		2.0	1.0							1.5	2
354	fic_1847_8919.txt-1065-12	mag_1860_556997.txt-31-47	bar	dwug_en		1.0		1.0						1.0	2
355	fic_1847_8919.txt-1065-12	mag_1977_109022.txt-68-9	bar	dwug_en	4.0		4.0							4.0	2
356	fic_1847_8919.txt-1065-12	mag_1977_490785.txt-157-11	bar	dwug_en				1.0		1.0				1.0	2
358	fic_1847_8919.txt-1065-12	news_1979_734356.txt-17-9	bar	dwug_en	1.0	1.0								1.0	2
359	fic_1847_8919.txt-1065-12	nf_1833_747716.txt-118-0	bar	dwug_en	1.0		1.0							1.0	2
362	fic_1847_8919.txt-1065-12	nf_1843_747536.txt-1320-10	bar	dwug_en			1.0	1.0						1.0	2
363	fic_1847_8919.txt-1065-12	nf_1844_747607.txt-3721-35	bar	dwug_en	1.0	2.0								1.5	2
366	fic_1847_8919.txt-1065-12	nf_1997_746547.txt-708-17	bar	dwug_en		2.0	1.0	1.0						1.0	3
392	fic_1848_7107.txt-993-43	fic_1999_45403.txt-19-31	bar	dwug_en	1.0			1.0						1.0	2
393	fic_1848_7107.txt-993-43	mag_1854_555974.txt-331-28	bar	dwug_en	1.0			1.0						1.0	2
394	fic_1848_7107.txt-993-43	mag_2007_390968.txt-43-4	bar	dwug_en	1.0		1.0							1.0	2
397	fic_1848_7193.txt-12821-20	mag_1825_553676.txt-2-14	bar	dwug_en		1.0					1.0			1.0	2
412	fic_1849_7333.txt-947-13	fic_1993_25016.txt-1330-5	bar	dwug_en		1.0	1.0							1.0	2
413	fic_1849_7333.txt-947-13	fic_1999_45403.txt-19-31	bar	dwug_en		1.0		1.0						1.0	2
414	fic_1849_7333.txt-947-13	fic_2002_47139.txt-175-11	bar	dwug_en	1.0			1.0						1.0	2
417	fic_1849_9494.txt-213-14	fic_1999_45403.txt-19-31	bar	dwug_en			1.0	1.0						1.0	2
418	fic_1849_9494.txt-213-14	fic_2000_13995.txt-480-6	bar	dwug_en		1.0					1.0			1.0	2
420	fic_1849_9494.txt-213-14	mag_1854_555974.txt-331-28	bar	dwug_en		2.0	1.0							1.5	2
422	fic_1849_9494.txt-213-14	nf_1969_774314.txt-1846-17	bar	dwug_en		3.0		4.0						3.5	2
441	fic_1850_7171.txt-3724-16	fic_1852_69.txt-7946-13	bar	dwug_en		1.0		1.0						1.0	2
443	fic_1850_7171.txt-3724-16	mag_1821_553342.txt-352-17	bar	dwug_en	1.0	1.0	4.0							1.0	3
445	fic_1850_7171.txt-3724-16	mag_2007_390968.txt-43-4	bar	dwug_en	1.0		1.0	3.0						1.0	3
468	fic_1852_69.txt-7946-13	mag_1821_553342.txt-352-17	bar	dwug_en	1.0	1.0		1.0						1.0	3
470	fic_1852_69.txt-7946-13	mag_1999_408585.txt-67-25	bar	dwug_en	1.0			3.0						2.0	2
476	fic_1852_9832.txt-5278-50	mag_2007_390968.txt-43-4	bar	dwug_en		2.0		1.0						1.5	2
500	fic_1853_9069.txt-3-11	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0		1.0							1.0	2
529	fic_1853_9158.txt-3216-38	fic_1987_780057.txt-1105-25	bar	dwug_en	2.0	3.0								2.5	2
530	fic_1853_9158.txt-3216-38	fic_1999_45403.txt-19-31	bar	dwug_en	1.0	1.0		1.0						1.0	3
531	fic_1853_9158.txt-3216-38	mag_1854_555974.txt-331-28	bar	dwug_en		3.0		2.0						2.5	2
545	fic_1854_9193.txt-1299-7	fic_2002_47139.txt-175-11	bar	dwug_en	1.0	1.0								1.0	2
574	fic_1856_1281.txt-1476-24	fic_2000_52518.txt-317-5	bar	dwug_en	4.0		4.0							4.0	2
575	fic_1856_1281.txt-3974-34	fic_1993_25016.txt-1330-5	bar	dwug_en			1.0	1.0						1.0	2
576	fic_1856_1281.txt-3974-34	fic_1999_45403.txt-19-31	bar	dwug_en		1.0		1.0						1.0	2
582	fic_1856_1562.txt-1235-42	fic_2002_47139.txt-175-11	bar	dwug_en		1.0	4.0							2.5	2
585	fic_1856_1562.txt-456-6	fic_2005_32805.txt-98-8	bar	dwug_en		2.0	1.0							1.5	2
587	fic_1856_1562.txt-456-6	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0							1.0	2
589	fic_1856_1562.txt-456-6	nf_1827_748059.txt-780-6	bar	dwug_en	1.0						1.0			1.0	2
590	fic_1856_2470.txt-4333-27	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0	1.0		1.0						1.0	3
591	fic_1856_2470.txt-4333-27	fic_1999_45403.txt-19-31	bar	dwug_en	1.0	2.0								1.5	2
592	fic_1856_2470.txt-4333-27	mag_1854_555965.txt-99-21	bar	dwug_en				4.0			3.0			3.5	2
593	fic_1856_2470.txt-4333-27	mag_2007_390968.txt-43-4	bar	dwug_en		2.0	1.0	1.0						1.0	3
648	fic_1859_9192.txt-10215-27	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	2.0								1.5	2
650	fic_1859_9192.txt-10215-27	nf_1857_753133.txt-433-14	bar	dwug_en	1.0	1.0								1.0	2
652	fic_1859_9192.txt-7101-1	mag_1825_553676.txt-2-14	bar	dwug_en		1.0					1.0			1.0	2
653	fic_1859_9192.txt-7101-1	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0	3.0						1.0	3
654	fic_1859_9192.txt-7101-1	mag_2007_390968.txt-43-4	bar	dwug_en	1.0			1.0						1.0	2
655	fic_1859_9192.txt-7101-1	nf_1969_774314.txt-1846-17	bar	dwug_en				4.0			4.0			4.0	2
656	fic_1859_9220.txt-7735-27	fic_1999_45403.txt-19-31	bar	dwug_en	1.0	4.0		1.0						1.0	3
657	fic_1859_9220.txt-7735-27	mag_1854_555965.txt-99-21	bar	dwug_en		1.0		4.0						2.5	2
658	fic_1859_9220.txt-7735-27	mag_1854_555974.txt-331-28	bar	dwug_en	1.0			1.0						1.0	2
660	fic_1859_9220.txt-7735-27	mag_2007_390968.txt-43-4	bar	dwug_en	1.0		1.0							1.0	2
665	fic_1860_7915.txt-320-87	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	2.0		3.0						2.0	3
668	fic_1860_8118.txt-4019-8	fic_1993_25016.txt-1330-5	bar	dwug_en		2.0	1.0							1.5	2
669	fic_1860_8118.txt-4019-8	fic_1999_45403.txt-19-31	bar	dwug_en		1.0	1.0							1.0	2
670	fic_1860_8118.txt-4019-8	fic_2000_52518.txt-317-5	bar	dwug_en	1.0		1.0							1.0	2
671	fic_1860_8118.txt-4019-8	mag_2007_390968.txt-43-4	bar	dwug_en		2.0		1.0						1.5	2
682	fic_1961_10411.txt-512-33	mag_2007_390968.txt-43-4	bar	dwug_en	1.0	3.0					3.0			3.0	3
684	fic_1961_10413.txt-1517-3	fic_1999_45403.txt-19-31	bar	dwug_en	4.0			3.0						3.5	2
685	fic_1961_10413.txt-1517-3	fic_2000_52518.txt-317-5	bar	dwug_en		4.0		4.0						4.0	2
687	fic_1962_10417.txt-5617-32	fic_2002_47139.txt-175-11	bar	dwug_en	4.0	2.0		4.0						4.0	3
688	fic_1962_10417.txt-5617-32	mag_1854_555974.txt-331-28	bar	dwug_en	1.0			1.0						1.0	2
697	fic_1963_10432.txt-11288-2	fic_2002_47139.txt-175-11	bar	dwug_en	4.0	4.0		4.0						4.0	3
700	fic_1963_10441.txt-521-7	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	2.0								1.5	2
701	fic_1963_10441.txt-521-7	mag_1977_490797.txt-632-9	bar	dwug_en		2.0		4.0						3.0	2
702	fic_1963_10441.txt-521-7	mag_2007_390968.txt-43-4	bar	dwug_en		2.0	1.0							1.5	2
706	fic_1963_23799.txt-145-1	fic_1999_45403.txt-19-31	bar	dwug_en	4.0	4.0		4.0			4.0			4.0	4
707	fic_1963_23799.txt-145-1	fic_2000_52518.txt-317-5	bar	dwug_en	4.0	2.0		3.0			4.0			3.5	4
708	fic_1963_23799.txt-145-1	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	1.0		1.0						1.0	3
711	fic_1964_10454.txt-1540-19	fic_2000_52518.txt-317-5	bar	dwug_en	4.0			3.0						3.5	2
714	fic_1964_16147.txt-1777-7	fic_1993_25016.txt-1330-5	bar	dwug_en		1.0		1.0						1.0	2
716	fic_1964_16147.txt-1777-7	news_2000_633241.txt-70-5	bar	dwug_en				4.0			4.0			4.0	2
718	fic_1965_10457.txt-1390-16	fic_1993_25016.txt-1330-5	bar	dwug_en		1.0	1.0	1.0						1.0	3
720	fic_1965_10457.txt-1390-16	mag_2007_390968.txt-43-4	bar	dwug_en		2.0	1.0							1.5	2
730	fic_1966_10469.txt-1265-9	fic_2005_32805.txt-98-8	bar	dwug_en	4.0	2.0	1.0	4.0			3.0			3.0	5
732	fic_1966_10469.txt-1265-9	mag_1835_565085.txt-133-11	bar	dwug_en				1.0		1.0				1.0	2
733	fic_1966_10469.txt-1265-9	mag_1854_555974.txt-331-28	bar	dwug_en	1.0					1.0				1.0	2
734	fic_1966_10469.txt-1265-9	mag_2007_390968.txt-43-4	bar	dwug_en	1.0				3.0					2.0	2
735	fic_1966_10469.txt-1265-9	nf_1852_771569.txt-558-20	bar	dwug_en				1.0	1.0	2.0				1.0	3
736	fic_1966_10473.txt-3245-16	fic_1993_25016.txt-1330-5	bar	dwug_en		4.0	1.0	2.0						2.0	3
738	fic_1966_10473.txt-3245-16	fic_2002_47139.txt-175-11	bar	dwug_en		1.0		3.0						2.0	2
739	fic_1966_10473.txt-3245-16	fic_2005_32805.txt-98-8	bar	dwug_en	1.0			3.0			4.0			3.0	3
741	fic_1966_10473.txt-3245-16	nf_1969_774314.txt-1305-14	bar	dwug_en				2.0			1.0			1.5	2
750	fic_1968_24508.txt-1410-5	fic_2000_52518.txt-317-5	bar	dwug_en	4.0	4.0								4.0	2
766	fic_1969_10517.txt-622-7	fic_1995_53011.txt-273-18	bar	dwug_en	1.0	1.0								1.0	2
769	fic_1969_10517.txt-622-7	mag_1999_408585.txt-67-25	bar	dwug_en	1.0	2.0					2.0			2.0	3
772	fic_1970_10535.txt-1319-11	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	2.0	1.0							1.0	3
776	fic_1970_782002.txt-1125-14	fic_2002_47139.txt-175-11	bar	dwug_en			4.0	3.0			4.0			4.0	3
777	fic_1970_782002.txt-1125-14	mag_1821_553342.txt-352-17	bar	dwug_en	1.0	1.0	1.0	1.0						1.0	4
778	fic_1970_782002.txt-1125-14	mag_1854_555974.txt-331-28	bar	dwug_en		1.0	1.0							1.0	2
781	fic_1970_782004.txt-928-31	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0		1.0	3.0						1.0	3
782	fic_1970_782004.txt-928-31	fic_2000_52518.txt-317-5	bar	dwug_en			1.0	2.0						1.5	2
783	fic_1970_782004.txt-928-31	fic_2005_32805.txt-98-8	bar	dwug_en	1.0		1.0							1.0	2
797	fic_1973_16200.txt-63-11	fic_1993_25016.txt-1330-5	bar	dwug_en		1.0		2.0						1.5	2
798	fic_1973_16200.txt-63-11	fic_2005_32805.txt-98-8	bar	dwug_en	4.0			3.0						3.5	2
799	fic_1973_16200.txt-63-11	mag_2007_390968.txt-43-4	bar	dwug_en	3.0		1.0							2.0	2
804	fic_1973_780108.txt-2947-19	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0	2.0								1.5	2
806	fic_1973_780108.txt-2947-19	nf_1846_748061.txt-1284-3	bar	dwug_en				4.0			4.0			4.0	2
812	fic_1976_780158.txt-4351-7	fic_2005_32805.txt-98-8	bar	dwug_en	4.0	4.0	4.0							4.0	3
813	fic_1976_780158.txt-4351-7	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	2.0								1.5	2
814	fic_1976_780158.txt-4351-7	mag_2007_390968.txt-43-4	bar	dwug_en		3.0		4.0						3.5	2
816	fic_1977_780095.txt-189-7	fic_1993_25016.txt-1330-5	bar	dwug_en		1.0	1.0	1.0						1.0	3
817	fic_1977_780095.txt-189-7	fic_2002_47139.txt-175-11	bar	dwug_en	3.0	4.0		3.0						3.0	3
818	fic_1977_780095.txt-189-7	mag_1821_553342.txt-352-17	bar	dwug_en	1.0	2.0								1.5	2
822	fic_1978_10636.txt-27104-7	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0			1.0						1.0	2
823	fic_1978_10636.txt-27104-7	fic_2002_47139.txt-175-11	bar	dwug_en				3.0			1.0			2.0	2
826	fic_1978_10636.txt-27104-7	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	1.0								1.0	2
829	fic_1978_10636.txt-842-8	fic_2002_47139.txt-175-11	bar	dwug_en			4.0	3.0						3.5	2
830	fic_1978_10636.txt-842-8	fic_2005_32805.txt-98-8	bar	dwug_en	4.0		1.0	3.0						3.0	3
833	fic_1978_23929.txt-76-14	mag_1821_553342.txt-352-17	bar	dwug_en			1.0	1.0						1.0	2
834	fic_1978_23929.txt-76-14	mag_2007_390968.txt-43-4	bar	dwug_en	1.0		1.0							1.0	2
835	fic_1978_23929.txt-76-14	news_1982_668343.txt-120-14	bar	dwug_en		1.0		1.0						1.0	2
840	fic_1981_780049.txt-3544-12	fic_1993_25016.txt-1330-5	bar	dwug_en	1.0		1.0							1.0	2
841	fic_1981_780049.txt-3544-12	fic_1999_45403.txt-19-31	bar	dwug_en	4.0			3.0						3.5	2
842	fic_1981_780049.txt-3544-12	fic_2002_47139.txt-175-11	bar	dwug_en	3.0	2.0	4.0				4.0			3.5	4
843	fic_1982_13389.txt-1305-4	fic_1993_25016.txt-1330-5	bar	dwug_en		2.0	1.0							1.5	2
844	fic_1982_13389.txt-1305-4	mag_1821_553342.txt-352-17	bar	dwug_en	1.0	1.0		1.0						1.0	3
845	fic_1982_13389.txt-1305-4	mag_1854_555974.txt-331-28	bar	dwug_en	1.0						1.0			1.0	2
846	fic_1982_13389.txt-1305-4	mag_2007_390968.txt-43-4	bar	dwug_en	3.0			3.0						3.0	2
858	fic_1983_23972.txt-314-7	mag_2007_390968.txt-43-4	bar	dwug_en	3.0	2.0		4.0						3.0	3
859	fic_1983_23972.txt-314-7	nf_1846_748061.txt-1284-3	bar	dwug_en		1.0					1.0			1.0	2
862	fic_1985_10734.txt-12072-29	fic_2000_52518.txt-317-5	bar	dwug_en	4.0			3.0						3.5	2
864	fic_1985_10734.txt-12072-29	mag_1854_555974.txt-331-28	bar	dwug_en		1.0	1.0							1.0	2
866	fic_1985_10734.txt-12072-29	nf_1850_748019.txt-94-1	bar	dwug_en	1.0			1.0						1.0	2
871	fic_1987_780057.txt-1105-25	fic_1993_25016.txt-1330-5	bar	dwug_en		3.0		3.0						3.0	2
872	fic_1987_780057.txt-1105-25	fic_1999_45403.txt-19-31	bar	dwug_en		1.0		1.0						1.0	2
879	fic_1987_780057.txt-1105-25	mag_2007_390968.txt-43-4	bar	dwug_en		1.0	1.0							1.0	2
880	fic_1987_780057.txt-1105-25	nf_1841_747644.txt-1703-81	bar	dwug_en	1.0	1.0								1.0	2
906	fic_1989_10789.txt-3471-25	fic_1993_25016.txt-1330-5	bar	dwug_en		2.0	1.0	2.0						2.0	3
907	fic_1989_10789.txt-3471-25	fic_1999_45403.txt-19-31	bar	dwug_en	3.0			3.0						3.0	2
908	fic_1989_10789.txt-3471-25	mag_2007_390968.txt-43-4	bar	dwug_en		3.0	1.0	2.0						2.0	3
911	fic_1989_10790.txt-3942-6	mag_1854_555974.txt-331-28	bar	dwug_en	1.0		1.0							1.0	2
912	fic_1989_10790.txt-3942-6	mag_2007_390968.txt-43-4	bar	dwug_en	1.0		1.0	3.0						1.0	3
913	fic_1989_10790.txt-3942-6	nf_1969_774314.txt-1846-17	bar	dwug_en	3.0						4.0			3.5	2
916	fic_1991_53377.txt-41-16	fic_2005_32805.txt-98-8	bar	dwug_en		4.0	4.0							4.0	2
929	fic_1993_25006.txt-4744-21	fic_1993_25016.txt-1330-5	bar	dwug_en			1.0	2.0						1.5	2
930	fic_1993_25006.txt-4744-21	fic_2002_47139.txt-175-11	bar	dwug_en	4.0	3.0								3.5	2
931	fic_1993_25006.txt-4744-21	fic_2005_32805.txt-98-8	bar	dwug_en	4.0		4.0							4.0	2
933	fic_1993_25010.txt-3964-10	fic_2000_52518.txt-317-5	bar	dwug_en	4.0		3.0							3.5	2
934	fic_1993_25010.txt-3964-10	fic_2005_32805.txt-98-8	bar	dwug_en	4.0	3.0	3.0							3.0	3
935	fic_1993_25010.txt-3964-10	mag_1854_555974.txt-331-28	bar	dwug_en	1.0			1.0						1.0	2
936	fic_1993_25010.txt-3964-10	mag_1977_490785.txt-157-11	bar	dwug_en				1.0	1.0					1.0	2
941	fic_1993_25016.txt-1330-5	fic_2000_28758.txt-3-6	bar	dwug_en		1.0		2.0						1.5	2
942	fic_1993_25016.txt-1330-5	fic_2000_30931.txt-158-27	bar	dwug_en		1.0		1.0						1.0	2
944	fic_1993_25016.txt-1330-5	fic_2004_780508.txt-1941-2	bar	dwug_en	1.0			2.0						1.5	2
946	fic_1993_25016.txt-1330-5	mag_1819_553205.txt-172-13	bar	dwug_en			1.0	1.0						1.0	2
948	fic_1993_25016.txt-1330-5	mag_1827_553811.txt-127-14	bar	dwug_en		1.0	1.0							1.0	2
949	fic_1993_25016.txt-1330-5	mag_1827_553832.txt-90-17	bar	dwug_en		1.0	1.0	1.0						1.0	3
950	fic_1993_25016.txt-1330-5	mag_1828_553911.txt-101-18	bar	dwug_en	1.0	1.0	1.0							1.0	3
951	fic_1993_25016.txt-1330-5	mag_1833_564484.txt-71-112	bar	dwug_en	1.0	2.0	1.0	3.0						1.5	4
952	fic_1993_25016.txt-1330-5	mag_1835_565085.txt-133-11	bar	dwug_en	1.0			1.0						1.0	2
953	fic_1993_25016.txt-1330-5	mag_1840_586555.txt-209-16	bar	dwug_en	1.0	1.0	1.0	1.0						1.0	4
954	fic_1993_25016.txt-1330-5	mag_1841_554917.txt-240-4	bar	dwug_en		2.0		1.0						1.5	2
956	fic_1993_25016.txt-1330-5	mag_1843_555150.txt-426-40	bar	dwug_en	1.0	2.0		1.0						1.0	3
957	fic_1993_25016.txt-1330-5	mag_1846_524077.txt-140-15	bar	dwug_en	1.0	1.0								1.0	2
958	fic_1993_25016.txt-1330-5	mag_1848_555562.txt-529-23	bar	dwug_en			1.0	1.0						1.0	2
959	fic_1993_25016.txt-1330-5	mag_1854_555974.txt-331-28	bar	dwug_en	1.0	3.0	1.0	2.0		3.0				2.0	5
960	fic_1993_25016.txt-1330-5	mag_1977_109022.txt-68-9	bar	dwug_en	1.0		1.0							1.0	2
961	fic_1993_25016.txt-1330-5	mag_1977_490785.txt-157-11	bar	dwug_en	1.0	1.0								1.0	2
962	fic_1993_25016.txt-1330-5	mag_1977_490789.txt-112-14	bar	dwug_en	2.0	4.0								3.0	2
964	fic_1993_25016.txt-1330-5	mag_1983_432145.txt-116-0	bar	dwug_en	1.0		1.0	1.0						1.0	3
965	fic_1993_25016.txt-1330-5	mag_1986_333553.txt-17-4	bar	dwug_en		2.0	1.0							1.5	2
966	fic_1993_25016.txt-1330-5	mag_1996_426302.txt-31-32	bar	dwug_en	1.0		1.0	1.0						1.0	3
