identifier	lemma	identifier_sense	comment	annotator
2532889X_1986-04-05_01_411.tcf.xml-34-14	zersetzen	sense1	 	annotatorB
2532889X_1948-02-11_01_009.tcf.xml-174-75	zersetzen	sense0	 	annotatorB
26120215_1981_05_02_01_139.tcf.xml-6-8	zersetzen	sense1	 	annotatorB
2532889X_1972-09-23_01_175.tcf.xml-5-16	zersetzen	sense1	 	annotatorB
2532889X_1973-07-12_01_153.tcf.xml-60-34	zersetzen	sense0	 	annotatorB
quenstedt_mineralogie_1854-7202-21	zersetzen	sense1	 	annotatorB
kerl_metallurgische_1866-4246-28	zersetzen	sense1	 	annotatorB
2532889X_1948-10-15_01_038.tcf.xml-20-16	zersetzen	sense0	 	annotatorB
samter_erfindungen_1896-8919-24	zersetzen	sense1	 	annotatorB
urbanitzky_electricitaet_1885-4651-33	zersetzen	sense1	 	annotatorB
2532889X_1949-09-08_01_010.tcf.xml-5-12	zersetzen	sense0	 	annotatorB
beck_eisen04_1899-14550-30	zersetzen	sense1	 	annotatorB
2532889X_1965-09-18_01_056.tcf.xml-21-34	zersetzen	sense0	 	annotatorB
2532889X_1968-10-26_01_124.tcf.xml-94-17	zersetzen	sense1	 	annotatorB
liebig_agricultur_1840-218-49	zersetzen	sense1	 	annotatorB
26120215_1968_11_26_01_253.tcf.xml-4-17	zersetzen	sense0	 	annotatorB
2532889X_1984-10-27_01_180.tcf.xml-1-11	zersetzen	sense1	 	annotatorB
quenstedt_mineralogie_1854-11674-36	zersetzen	sense0	 	annotatorB
quenstedt_mineralogie_1854-11874-1	zersetzen	sense1	 	annotatorB
griesinger_psychische_1845-572-34	zersetzen	sense0	 	annotatorB
mommsen_roemische03_1856-4692-12	zersetzen	sense0	 	annotatorB
schleiden_pflanze_1848-1508-22	zersetzen	sense1	 	annotatorB
2532889X_1948-08-08_01_035.tcf.xml-369-60	zersetzen	sense0	 	annotatorB
2532889X_1987-10-24_01_365.tcf.xml-5-1	zersetzen	sense1	 	annotatorB
2532889X_1960-07-06_01_172.tcf.xml-206-17	zersetzen	sense0	 	annotatorB
2532889X_1969-04-19_01_193.tcf.xml-2-20	zersetzen	sense1	 	annotatorB
2532889X_1976-11-13_01_450.tcf.xml-16-15	zersetzen	sense1	 	annotatorB
darwin_pflanzen_1876-6353-6	zersetzen	sense1	 	annotatorB
26120215_1973_07_08_01_244.tcf.xml-2-4	zersetzen	sense1	 	annotatorB
humboldt_aequinoktial01_1859-3347-78	zersetzen	sense1	 	annotatorB
treviranus_biologie04_1814-4295-33	zersetzen	sense1	 	annotatorB
liebig_agricultur_1840-1742-66	zersetzen	sense1	 	annotatorB
curtius_alterthum01_1875-2280-20	zersetzen	sense0	 	annotatorB
thaer_landwirthschaft04_1812-2451-11	zersetzen	sense1	 	annotatorB
2532889X_1953-11-21_01_040.tcf.xml-49-28	zersetzen	sense0	 	annotatorB
thaer_landwirthschaft02_1810-2279-27	zersetzen	sense1	 	annotatorB
2532889X_1951-02-28_01_035.tcf.xml-19-30	zersetzen	sense0	 	annotatorB
2532889X_1953-02-08_01_037.tcf.xml-142-13	zersetzen	sense0	 	annotatorB
thaer_landwirthschaft02_1810-4102-27	zersetzen	sense1	 	annotatorB
lasswitz_seife_1890-606-28	zersetzen	sense1	 	annotatorB
2532889X_1950-01-07_01_043.tcf.xml-58-4	zersetzen	sense0	 	annotatorB
kerl_metallurgische_1866-4226-48	zersetzen	sense1	 	annotatorB
2532889X_1958-11-05_01_013.tcf.xml-12-20	zersetzen	sense0	 	annotatorC
quenstedt_mineralogie_1854-6215-6	zersetzen	sense1	 	annotatorC
2532889X_1950-03-29_01_082.tcf.xml-6-48	zersetzen	sense0	 	annotatorC
2532889X_1961-05-15_01_041.tcf.xml-98-27	zersetzen	sense0	 	annotatorC
ledebur_eisenhuettenkunde_1884-14016-15	zersetzen	sense1	 	annotatorC
paul_katzenberger01_1809-1358-66	zersetzen	sense1	 	annotatorC
2532889X_1952-12-04_01_034.tcf.xml-131-16	zersetzen	sense0	 	annotatorC
gutzkow_zeitgenossen01_1842-1175-5	zersetzen	sense0	 	annotatorC
2532889X_1986-04-05_01_411.tcf.xml-34-14	zersetzen	sense1	 	annotatorC
2532889X_1948-02-11_01_009.tcf.xml-174-75	zersetzen	sense0	 	annotatorC
26120215_1981_05_02_01_139.tcf.xml-6-8	zersetzen	sense1	 	annotatorC
2532889X_1972-09-23_01_175.tcf.xml-5-16	zersetzen	sense1	 	annotatorC
2532889X_1973-07-12_01_153.tcf.xml-60-34	zersetzen	sense0	 	annotatorC
quenstedt_mineralogie_1854-7202-21	zersetzen	sense1	 	annotatorC
kerl_metallurgische_1866-4246-28	zersetzen	sense1	 	annotatorC
2532889X_1948-10-15_01_038.tcf.xml-20-16	zersetzen	sense0	 	annotatorC
samter_erfindungen_1896-8919-24	zersetzen	sense1	 	annotatorC
urbanitzky_electricitaet_1885-4651-33	zersetzen	sense1	 	annotatorC
2532889X_1949-09-08_01_010.tcf.xml-5-12	zersetzen	sense0	 	annotatorC
beck_eisen04_1899-14550-30	zersetzen	sense1	 	annotatorC
2532889X_1965-09-18_01_056.tcf.xml-21-34	zersetzen	sense0	 	annotatorC
2532889X_1968-10-26_01_124.tcf.xml-94-17	zersetzen	sense1	 	annotatorC
liebig_agricultur_1840-218-49	zersetzen	sense1	 	annotatorC
26120215_1968_11_26_01_253.tcf.xml-4-17	zersetzen	sense0	 	annotatorC
2532889X_1984-10-27_01_180.tcf.xml-1-11	zersetzen	sense1	 	annotatorC
quenstedt_mineralogie_1854-11674-36	zersetzen	sense1	 	annotatorC
quenstedt_mineralogie_1854-11874-1	zersetzen	sense1	 	annotatorC
griesinger_psychische_1845-572-34	zersetzen	sense0	 	annotatorC
mommsen_roemische03_1856-4692-12	zersetzen	sense0	 	annotatorC
schleiden_pflanze_1848-1508-22	zersetzen	sense1	 	annotatorC
2532889X_1948-08-08_01_035.tcf.xml-369-60	zersetzen	sense0	 	annotatorC
2532889X_1987-10-24_01_365.tcf.xml-5-1	zersetzen	sense1	 	annotatorC
2532889X_1960-07-06_01_172.tcf.xml-206-17	zersetzen	sense0	 	annotatorC
2532889X_1969-04-19_01_193.tcf.xml-2-20	zersetzen	sense1	 	annotatorC
2532889X_1976-11-13_01_450.tcf.xml-16-15	zersetzen	sense1	 	annotatorC
darwin_pflanzen_1876-6353-6	zersetzen	sense1	 	annotatorC
26120215_1973_07_08_01_244.tcf.xml-2-4	zersetzen	sense1	 	annotatorC
humboldt_aequinoktial01_1859-3347-78	zersetzen	sense1	 	annotatorC
treviranus_biologie04_1814-4295-33	zersetzen	sense1	 	annotatorC
liebig_agricultur_1840-1742-66	zersetzen	sense1	 	annotatorC
curtius_alterthum01_1875-2280-20	zersetzen	sense0	 	annotatorC
thaer_landwirthschaft04_1812-2451-11	zersetzen	sense1	 	annotatorC
2532889X_1953-11-21_01_040.tcf.xml-49-28	zersetzen	sense0	 	annotatorC
thaer_landwirthschaft02_1810-2279-27	zersetzen	sense1	 	annotatorC
2532889X_1951-02-28_01_035.tcf.xml-19-30	zersetzen	sense0	 	annotatorC
2532889X_1953-02-08_01_037.tcf.xml-142-13	zersetzen	sense0	 	annotatorC
thaer_landwirthschaft02_1810-4102-27	zersetzen	sense1	 	annotatorC
lasswitz_seife_1890-606-28	zersetzen	sense1	 	annotatorC
2532889X_1950-01-07_01_043.tcf.xml-58-4	zersetzen	sense0	 	annotatorC
kerl_metallurgische_1866-4226-48	zersetzen	sense1	 	annotatorC
