lemma	identifier	context	indexes_target_token	context_normalized
Knotenpunkt	mueller_festigkeitslehre_1886-1886-14	Für ein im Gleichgewichte befindliches Fachwerk ist die bei unendlich kleinen virtuellen Verschiebungen der Knotenpunkte von den äusseren Kräften verrichtete virtuelle Arbeit ebenso gross wie die virtuelle Arbeit der Stabkräfte S.	108:120	Für ein im Gleichgewichte befindliches Fachwerk ist die bei unendlich kleinen virtuellen Verschiebungen der Knotenpunkte von den äußeren Kräften verrichtete virtuelle Arbeit ebenso groß wie die virtuelle Arbeit der Stabkräfte S.
Knotenpunkt	mohr_fachwerk02_1875-172-13	Belastet man das erste Tragfeld gleichmässig mit 100 Tonnen, so dass die Knotenpunkte A und C (Fig. 40) je 5 Tonnen und die übrigen neun Knotenpunkte der unteren Gurtung des ersten Tragfeldes je 10 Tonnen aufzunehmen haben, so ergeben die Seilpolygone C und E (Fig. 41), welche mit einer Poldistanz gleich 100 Tonnen konstruirt sind, die Längen [Formel] und [Formel] Bei dieser Belastung ist sonach:	73:85	Belastet man das erste Tragfeld gleichmäßig mit 100 Tonnen , so dass die Knotenpunkte A und C ( Fig. 40 ) je 5 Tonnen und die übrigen neun Knotenpunkte der unteren Gurtung des ersten Tragfeldes je 10 Tonnen aufzunehmen haben , so ergeben die Seilpolygone C und E ( Fig. 41 ) , welche mit einer Poldistanz gleich 100 Tonnen konstruiert sind , die Längen [Formel] und [Formel] Bei dieser Belastung ist sonach :
Knotenpunkt	mueller_festigkeitslehre_1886-361-32	Es ergeben sich jetzt mittelst der Gleichung 16 für die unteren Knotenpunkte 1, 3 und 5 die Werthe [Formel], [Formel], [Formel] und mittelst der Gleichung 17 für die oberen Knotenpunkte die Werthe [Formel], [Formel].	173:185	Es ergeben sich jetzt mittels der Gleichung 16 für die unteren Knotenpunkte 1 , 3 und 5 die Werte [Formel] , [Formel] , [Formel] und mittels der Gleichung 17 für die oberen Knotenpunkte die Werte [Formel] , [Formel] .
Knotenpunkt	robert_griechische_1881-1228-67	XV 4) veröffentlichten Vasenbildes, das Welcker in dem von Brunn angegebenen Sinne deutet, während es vielmehr, wie Luckenbach a. a. O. S. 519 schlagend nachweist, den aufgehobenen Zweikampf zwischen Hektor und Aias darstellt, also eine Scene der Ilias, von der ich freilich nicht sagen kann, ob sie nach Brunns Ansicht die Geltung einer wertlosen Episode oder eines Kern-und Knotenpunktes der Handlung hat.	376:389	XV 4 ) veröffentlichten Vasenbildes , das Welcker in dem von Brunnen angegebenen Sinne deutet , während es vielmehr , wie Lukenbach a. a. O. S. 519 schlagend nachweist , den aufgehobenen Zweikampf zwischen Hektor und Aias darstellt , also eine Szene der Ilias , von der ich freilich nicht sagen kann , ob sie nach Brunns Ansicht die Geltung einer wertlosen Episode oder eines Kern- und Knotenpunktes der Handlung hat .
Knotenpunkt	ludwig_physiologie01_1852-3614-25	Dieser Sehwinkel gibt, wie man sieht, ein genaues Maass für die Grösse des auf der Retina entworfenen Bildes, weil die Entfernung der Knotenpunkte von der ersteren eine constante bleibt. —	134:146	Dieser Sehwinkel gibt , wie man sieht , ein genaues Maß für die Größe des auf der Retina entworfenen Bildes , weil die Entfernung der Knotenpunkte von der ersteren eine konstante bleibt . --
Knotenpunkt	ludwig_physiologie01_1852-2025-67	— Um die harmonische Zusammenfügung der Muskeln, ihr Zusammengreifen zu bestimmten Bewegungen in Folge der Reflexe zu erläutern, setzt man voraus, es sei dieser letztere nur möglich an Orten, in denen die den einzelnen Muskeln entsprechenden Nerven, in einer gewissen Ordnung zusammengefasst seien, indem man sich den motorischen Theil des Rückenmarks vorstellt als eine sehr vielfache Verschlingung von Röhren, deren Knotenpunkte in passender Art auf die sensiblen aufgereiht sind.	418:430	-- Um die harmonische Zusammenfügung der Muskeln , ihr Zusammengreifen zu bestimmten Bewegungen in Folge der Reflexe zu erläutern , setzt man voraus , es sei dieser letztere nur möglich an Orten , in denen die den einzelnen Muskeln entsprechenden Nerven , in einer gewissen Ordnung zusammengefasst seien , indem man sich den motorischen Teil des Rückenmarks vorstellt als eine sehr vielfache Verschlingung von Röhren , deren Knotenpunkte in passender Art auf die sensiblen aufgereiht sind .
Knotenpunkt	ludwig_physiologie01_1852-2856-103	Der innigen Beziehung wegen, die zwischen den Knotenpunkten und dem Richtungsstrahl besteht, kann man unter den Angaben, welche zur Bestimmung der Brennpunktslage dienen sollen, die der Knotenpunkte denjenigen des Richtungsstrahles substituiren und es kann demnach, wenn die Lage eines leuchtenden Punktes, diejenige der Knotenpunkte, und die Entfernung des Brennpunktes von der hintern Linsenfläche gegeben ist, der Richtungsstrahl und der Ort des Brennpunktes durch lineare Construction gefunden werden; zu diesem Behufe zieht man einfach eine gerade Verbindungslinie zwischen dem Leuchtpunkt A′ und dem ersten Knotenpunkt B′; und dann eine dieser parallele Linie vom zweiten Knotenpunkt B; es gibt dann die Linie 3 A den Verlauf des Richtungsstrahles nach der Brechung u. s. w.	678:689	Der innigen Beziehung wegen , die zwischen den Knotenpunkten und dem Richtungsstrahl besteht , kann man unter den Angaben , welche zur Bestimmung der Brennpunktslage dienen sollen , die der Knotenpunkte denjenigen des Richtungsstrahles substituieren und es kann demnach , wenn die Lage eines leuchtenden Punktes , diejenige der Knotenpunkte , und die Entfernung des Brennpunktes von der hinteren Linsenfläche gegeben ist , der Richtungsstrahl und der Ort des Brennpunktes durch lineare Konstruktion gefunden werden ; zu diesem Behufe zieht man einfach eine gerade Verbindungslinie zwischen dem Leuchtpunkt A' und dem ersten Knotenpunkt B' ; und dann eine dieser parallele Linie vom zweiten Knotenpunkt B ; es gibt dann die Linie 3 A den Verlauf des Richtungsstrahles nach der Brechung u. s. w .
Knotenpunkt	lehnert_seehaefen01_1891-13281-14	Den Verkehr Londons mit allen Theilen Englands und Schottlands vermitteln 11 Eisenbahnlinien, deren Knotenpunkt die Hauptstadt bildet.	100:111	Den Verkehr Londons mit allen Teilen Englands und Schottlands vermitteln 11 Eisenbahnlinien , deren Knotenpunkt die Hauptstadt bildet .
Knotenpunkt	mueller_festigkeitslehre_1886-231-2	Werden die Knotenpunkte des Fachwerks mit 1, 2, 3 … m.... n bezeichnet und die in denselben angreifenden Lasten mit P1, P2, P3 … Pm.... Pn, so lautet die in § 3 aufgestellte Arbeitsgleichung (4): (10) [Formel]; sie gilt für beliebige mögliche Verschiebungen δ, Δ c und Δ s und für beliebige Werthe der Lasten P und liefert unmittelbar die durch bestimmte Δ c und Δ s hervorgerufene Verschiebung δm des Knotenpunktes m im Sinne von Pm, sobald P1 bis Pm — 1 und Pm + 1 bis Pn gleich Null gesetzt werden, während Pm = 1 angenommen wird.	11:23	Werden die Knotenpunkte des Fachwerks mit 1 , 2 , 3 ... m .... n bezeichnet und die in denselben angreifenden Lasten mit P1 , P2 , P3 ... Pm .... Pn , so lautet die in § 3 aufgestellte Arbeitsgleichung ( 4 ) : ( 10 ) [Formel] ; sie gilt für beliebige mögliche Verschiebungen d , D c und D s und für beliebige Werte der Lasten P und liefert unmittelbar die durch bestimmte D c und D s hervorgerufene Verschiebung dm des Knotenpunktes m im Sinne von Pm , sobald P1 bis Pm -- 1 und Pm + 1 bis Pn gleich Null gesetzt werden , während Pm = 1 angenommen wird .
Knotenpunkt	valentin_entwicklungsgeschichte_1835-6813-9	5) Die Zotten der unteren Lage an den Knotenpunkten befindlich.	38:51	5 ) Die Zotten der unteren Lage an den Knotenpunkten befindlich .
Knotenpunkt	mueller_festigkeitslehre_1886-493-55	Wir nehmen das gewichtslose Fachwerk nur mit einer in m angreifenden senkrechten Kraft „Eins“ belastet an, berechnen die hierbei entstehenden Spannkräfte S und Spannungen σ und bestimmen (nach § 5 bis § 8) das diesen Spannungen entsprechende Biegungspolygon derjenigen Gurtung (beispielsweise von A C B), in deren Knotenpunkten die Verkehrsbelastungen angreifen sollen.	314:327	Wir nehmen das gewichtslose Fachwerk nur mit einer in m angreifenden senkrechten Kraft " Eins " belastet an , berechnen die hierbei entstehenden Spannkräfte S und Spannungen σ und bestimmen ( nach § 5 bis § 8 ) das diesen Spannungen entsprechende Biegungspolygon derjenigen Gurtung ( beispielsweise von A C B ) , in deren Knotenpunkten die Verkehrsbelastungen angreifen sollen .
Knotenpunkt	lehnert_seehaefen01_1891-1126-8	Der Piräus ist ja schon jetzt der wichtigste Knotenpunkt der Dampfschiffahrt im ägäischen Meere.	45:56	Der Piräus ist ja schon jetzt der wichtigste Knotenpunkt der Dampfschiffahrt im ägäischen Meere .
Knotenpunkt	ludwig_physiologie01_1852-2856-30	Der innigen Beziehung wegen, die zwischen den Knotenpunkten und dem Richtungsstrahl besteht, kann man unter den Angaben, welche zur Bestimmung der Brennpunktslage dienen sollen, die der Knotenpunkte denjenigen des Richtungsstrahles substituiren und es kann demnach, wenn die Lage eines leuchtenden Punktes, diejenige der Knotenpunkte, und die Entfernung des Brennpunktes von der hintern Linsenfläche gegeben ist, der Richtungsstrahl und der Ort des Brennpunktes durch lineare Construction gefunden werden; zu diesem Behufe zieht man einfach eine gerade Verbindungslinie zwischen dem Leuchtpunkt A′ und dem ersten Knotenpunkt B′; und dann eine dieser parallele Linie vom zweiten Knotenpunkt B; es gibt dann die Linie 3 A den Verlauf des Richtungsstrahles nach der Brechung u. s. w.	186:198	Der innigen Beziehung wegen , die zwischen den Knotenpunkten und dem Richtungsstrahl besteht , kann man unter den Angaben , welche zur Bestimmung der Brennpunktslage dienen sollen , die der Knotenpunkte denjenigen des Richtungsstrahles substituieren und es kann demnach , wenn die Lage eines leuchtenden Punktes , diejenige der Knotenpunkte , und die Entfernung des Brennpunktes von der hinteren Linsenfläche gegeben ist , der Richtungsstrahl und der Ort des Brennpunktes durch lineare Konstruktion gefunden werden ; zu diesem Behufe zieht man einfach eine gerade Verbindungslinie zwischen dem Leuchtpunkt A' und dem ersten Knotenpunkt B' ; und dann eine dieser parallele Linie vom zweiten Knotenpunkt B ; es gibt dann die Linie 3 A den Verlauf des Richtungsstrahles nach der Brechung u. s. w .
Knotenpunkt	rein_japan01_1881-1660-24	Der 2500 Meter hohe Tokachi-dake an den Quellen des Tokachi (43 ° 48' N. und 143 ° 10' O. Gr.) ist der Knotenpunkt, von dem aus nach allen Himmelsrichtungen die grossen Flüsse des Landes, zum Theil, wie der Ishikari, in auffallend gewundenem Laufe, dem Meere zueilen.	103:114	Der 2500 Meter hohe Tokachi-dake an den Quellen des Tokachi ( 43 ° 48' N. und 143 ° 10' O. Gr. ) ist der Knotenpunkt , von dem aus nach allen Himmelsrichtungen die großen Flüsse des Landes , zum Teil , wie der Ishikari , in auffallend gewundenem Laufe , dem Meere zueilen .
Knotenpunkt	ludwig_physiologie01_1852-3467-76	Darauf steckt man auf der Kreislinie C C mehrere Stifte I, II, III, IV, V u. s. w. in immer gleichen Winkelabständen von einander auf, und hält das Brett nun so vor das Auge, dass die Linie I A, welche einen Stift und den Mittelpunkt des Kreises A verbinden in die Verlängerung der Sehachse fällt, und dass zugleich der Mittelpunkt des Kreises und die Mitte zwischen den beiden Knotenpunkten zusammenfallen.	378:391	Darauf steckt man auf der Kreislinie C C mehrere Stifte I , II , III , IV , V u. s. w. in immer gleichen Winkelabständen von einander auf , und hält das Brett nun so vor das Auge , dass die Linie I A , welche einen Stift und den Mittelpunkt des Kreises A verbinden in die Verlängerung der Sehachse fällt , und dass zugleich der Mittelpunkt des Kreises und die Mitte zwischen den beiden Knotenpunkten zusammenfallen .
Knotenpunkt	mueller_festigkeitslehre_1886-1241-48	Wendet man die unter 2) und 3) mitgetheilten Verfahren auf die Berechnung der Formänderungen von Bogenbrücken an, so genügt es in der Regel, die Punkte, in denen die senkrechten, zwischen die Fahrbahn und den Bogen eingeschalteten Stäbe die Bogenachse schneiden, als Knotenpunkte in dem vorhin erklärten Sinne anzunehmen.	267:279	Wendet man die unter 2 ) und 3 ) mitgeteilten Verfahren auf die Berechnung der Formänderungen von Bogenbrücken an , so genügt es in der Regel , die Punkte , in denen die senkrechten , zwischen die Fahrbahn und den Bogen eingeschalteten Stäbe die Bogenachse schneiden , als Knotenpunkte in dem vorhin erklärten Sinne anzunehmen .
Knotenpunkt	mueller_festigkeitslehre_1886-444-21	Soll nun die Einflusslinie für X unter der Voraussetzung ermittelt werden, dass eine Lasteinheit P der Reihe nach in sämmtlichen Knotenpunkten der unteren Gurtung A B angreift, so müssen die durch die Ursache X = 1 hervorgerufenen Spannkräfte S', sowie das Biegungspolygon der Gurtung A B für diesen Spannungszustand bestimmt werden.	129:142	Soll nun die Einflusslinie für X unter der Voraussetzung ermittelt werden , dass eine Lasteinheit P der Reihe nach in sämtlichen Knotenpunkten der unteren Gurtung A B angreift , so müssen die durch die Ursache X = 1 hervorgerufenen Spannkräfte Es , sowie das Biegungspolygon der Gurtung A B für diesen Spannungszustand bestimmt werden .
Knotenpunkt	wundt_medizinische_1867-4731-41	Für ein zusammengesetztes optisches System von der Beschaffenheit des Auges erhalten wir demnach sechs optische Cardinalpunkte, mittelst deren sich nach den in §. 151 gegebenen Regeln unter Berücksichtigung der leicht zu übersehenden Modificationen, welche das Auseinanderfallen der Haupt-und Knotenpunkte bedingt, der Gang der Lichtstrahlen verfolgen lässt.	293:305	Für ein zusammengesetztes optisches System von der Beschaffenheit des Auges erhalten wir demnach sechs optische Kardinalpunkte , mittels deren sich nach den in §. 151 gegebenen Regeln unter Berücksichtigung der leicht zu übersehenden Modifikationen , welche das Auseinanderfallen der Haupt- und Knotenpunkte bedingt , der Gang der Lichtstrahlen verfolgen lässt .
Knotenpunkt	mueller_festigkeitslehre_1886-96-20	so sind n' + 2 n '' Auflagerkräfte und r Spannkräfte zu berechnen, und hierzu stehen, bei k Knotenpunkten, 2 k Gleichgewichtsbedingungen zur Verfügung.	92:105	so sind n' + 2 n '' Auflagerkräfte und r Spannkräfte zu berechnen , und hierzu stehen , bei k Knotenpunkten , 2 k Gleichgewichtsbedingungen zur Verfügung .
Knotenpunkt	mueller_festigkeitslehre_1886-294-9	Sind insbesondere die Verschiebungen des ersten und des letzten Knotenpunktes (o und n) der Gurtung gleich Null, wie dies in der Fig. 14 a vorausgesetzt worden ist, so ist der Balken A' B' ein einfacher, d. h. an den Enden frei aufliegender.	64:77	Sind insbesondere die Verschiebungen des ersten und des letzten Knotenpunktes ( o und n ) der Gurtung gleich Null , wie dies in der Fig. 14 a vorausgesetzt worden ist , so ist der Balken A' B' ein einfacher , d. h. an den Enden frei aufliegender .
Knotenpunkt	beck_eisen01_1884-2444-5	Ihr Land lag in dem Knotenpunkte von drei Weltteilen und von drei verschiedenen Kulturentwickelungen.	20:32	Ihr Land lag in dem Knotenpunkte von drei Weltteilen und von drei verschiedenen Kulturentwickelungen .
Knotenpunkt	mohr_fachwerk02_1875-172-28	Belastet man das erste Tragfeld gleichmässig mit 100 Tonnen, so dass die Knotenpunkte A und C (Fig. 40) je 5 Tonnen und die übrigen neun Knotenpunkte der unteren Gurtung des ersten Tragfeldes je 10 Tonnen aufzunehmen haben, so ergeben die Seilpolygone C und E (Fig. 41), welche mit einer Poldistanz gleich 100 Tonnen konstruirt sind, die Längen [Formel] und [Formel] Bei dieser Belastung ist sonach:	137:149	Belastet man das erste Tragfeld gleichmäßig mit 100 Tonnen , so dass die Knotenpunkte A und C ( Fig. 40 ) je 5 Tonnen und die übrigen neun Knotenpunkte der unteren Gurtung des ersten Tragfeldes je 10 Tonnen aufzunehmen haben , so ergeben die Seilpolygone C und E ( Fig. 41 ) , welche mit einer Poldistanz gleich 100 Tonnen konstruiert sind , die Längen [Formel] und [Formel] Bei dieser Belastung ist sonach :
Knotenpunkt	wundt_medizinische_1867-4736-4	4) der zweite Knotenpunkt: 0,3602 Mm. vor der Hinterfläche der Linse;	14:25	4 ) der zweite Knotenpunkt : 0,3602 Mm. vor der Hinterfläche der Linse ;
Knotenpunkt	lehnert_seehaefen02_1892-4907-5	Seit zwei Jahrzehnten berühmt als Knotenpunkt des sibirischen Ueberlandtelegraphen und der Kabel der Great Eastern Telegraph Cy. (Kopenhagen), ist es die Hauptschiffstation Russlands am stillen Ocean, und ausgerüstet mit einem Schwimmdock, das Schiffe von 3000 T aufnehmen kann; bald wird auch ein gegrabenes Dock erbaut werden.	34:45	Seit zwei Jahrzehnten berühmt als Knotenpunkt des sibirischen Überlandtelegraphen und der Kabel der Great Eastern Telegraph Cy. ( Kopenhagen ) , ist es die Hauptschiffstation Russlands am stillen Ozean , und ausgerüstet mit einem Schwimmdock , das Schiffe von 3000 T aufnehmen kann ; bald wird auch ein gegrabenes Dock erbaut werden .
Knotenpunkt	wundt_medizinische_1867-4755-67	Einem von dem Punkte a ausgehenden homocentrischen Strahlenbüschel a b f entspricht nach geschehener Brechung ein im Punkte e sich sammelndes homocentrisches Strahlenbüschel d e g. Wäre nun bloss die brechende Hornhautoberfläche vorhanden, so würde ein Strahl a x, der in seiner Verlängerung den Krümmungsmittelpunkt r derselben durchschneidet, völlig ungebrochen hindurchgehen; wäre bloss die Linse vorhanden, so würde der nach dem ersten Knotenpunkte c derselben gerichtete Strahl a y der Richtungsstrahl sein.	440:452	Einem von dem Punkte a ausgehenden homozentrischen Strahlenbüschel a b f entspricht nach geschehener Brechung ein im Punkte e sich sammelndes homozentrisches Strahlenbüschel d e g. Wäre nun bloß die brechende Hornhautoberfläche vorhanden , so würde ein Strahl a x , der in seiner Verlängerung den Krümmungsmittelpunkt r derselben durchschneidet , völlig ungebrochen hindurchgehen ; wäre bloß die Linse vorhanden , so würde der nach dem ersten Knotenpunkte c derselben gerichtete Strahl a y der Richtungsstrahl sein .
Knotenpunkt	vischer_aesthetik030201_1852-237-57	Diese Bewegung, die Bötticher (Tektonik der Hellenen) uneigentlich, aber schön eine Entwicklung des im Stoffe latenten Lebens nennt und die sich allerdings namentlich in der Raum-öffnenden Stütze und der scheinbar schwebenden Last ansammelt, wird sich aber über das Ganze erstrecken; die Haupt-Massen werden einander entgegenzusteigen und entgegenzusinken, dann sich in Knotenpunkten anzusammeln, in das Breite auseinanderzugehen und wieder in die Einheit zusammenzufließen scheinen.	370:383	Diese Bewegung , die Bötticher ( Tektonik der Hellenen ) uneigentlich , aber schön eine Entwicklung des im Stoffe latenten Lebens nennt und die sich allerdings namentlich in der Raum-öffnenden Stütze und der scheinbar schwebenden Last ansammelt , wird sich aber über das Ganze erstrecken ; die Haupt-Massen werden einander entgegenzusteigen und entgegenzusinken , dann sich in Knotenpunkten anzusammeln , in das Breite auseinanderzugehen und wieder in die Einheit zusammenzufließen scheinen .
Knotenpunkt	schubert_naturwissenschaft_1808-2204-78	Zwar beträgt nun der Unterschied zwischen dem Knotenpunkt der Vestabahn und dem Aequinoctialpunkt unsres, mit der Vesta in einer äußerst merkwürdigen Beziehung stehenden Planeten, (m. s. den folgenden Anhang) noch immer gegen ½ Grad; allein dieser geringe Unterschied, der in der Natur, wie sich künftig zeigen wird, wahrscheinlich gar nicht statt findet, hebt sich ganz, wenn man den aus Beobachtungen doch immer nur sehr ohngefähr zu bestimmenden Knotenpunkt des Sonnenaequators auf der Ebene der Erdbahn, aus welchem dann die der übrigen durch Rechnung gefunden werden, nur wenig verändert.	449:460	Zwar beträgt nun der Unterschied zwischen dem Knotenpunkt der Vestabahn und dem Äquinoktialpunkt unseres , mit der Vesta in einer äußerst merkwürdigen Beziehung stehenden Planeten , (m . s . den folgenden Anhang ) noch immer gegen ½ Grad ; allein dieser geringe Unterschied , der in der Natur , wie sich künftig zeigen wird , wahrscheinlich gar nicht statt findet , hebt sich ganz , wenn man den aus Beobachtungen doch immer nur sehr ungefähr zu bestimmenden Knotenpunkt des Sonnenäquators auf der Ebene der Erdbahn , aus welchem dann die der übrigen durch Rechnung gefunden werden , nur wenig verändert .
