lemma	identifier1	identifier2	context1	context2	indexes_target_token1	derived_indexes1	indexes_target_token2	derived_indexes2	judgment	cosine_similarity
afternoon	news_1970_728479.txt-13-6	nf_2006_776561.txt-30-8	Services    were    held    for    him    this    afternoon    at    o    funeral    home    in    a    Negro    section    of    northeast    Washington.	Sitting    in    on    a    class    in    the    late    afternoon,    listening    to    him    draw    on    his    experiences    from    his    Stanley    days,    I    imagined    that    beyond    the    nineteen    young    peo-    ple    seated    in    the    room,    he    was    speaking    to    all    those    he    knew    back    home,    explaining    that    he    had    done    as    well    as    any    executive    could,    in    a    very    changed    world,    to    preserve    Stanley    as    it    was.	32:41	[32,    41]	34:43	[34,    43]	4.0	0.954237699508667
afternoon	news_1992_605805.txt-59-34	fic_1854_5388.txt-1142-35	   "A    Fairfax    doctor    and    his    wife,    who    were    robbed    of    their    Nissan    Maxima    at    Tysons    in    1989,    said    they    were    parking    their    car    in    Terrace    B    near    Bloomingdale's    in    the    early    afternoon    when    a    man    with    a    gun    demanded    their    car.       "   "   "	   "In    the    evening,    having    supped,    we    went    to    the    theatre,    where    I    revenged    myself    upon    the       "   "    heavy    man,       "   "    and    the       "   "    light    comedian,       "   "    who    had    in    the    afternoon    made    merry    at    my    expense    for    carrying    the    harp,    by    getting    up    a    hiss    for    the    former    gentleman,    who    knew    not    one    single    word    of    his    part,    and    by    hitting    the    latter    individual    upon    the    nose    with    an    apple,    for    which    latter    feat    (as    the    actor    was    a    great    favorite,)    I    was    hounded    out    of    the    theatre,    and    narrowly    escaped    being    carried    to    the    watch-house.   "	168:177	[169,    178]	146:155	[151,    160]	4.0	0.9474154710769653
afternoon	mag_1968_490662.txt-89-5	fic_1988_10770.txt-925-3	Arlo    Guthrie    ON    a    late    afternoon    recently,    The    Bitter    End,    a    small,    cellarlike    night    club    on	Rememberinghis    exhaustion    that    afternoon,    he    thought    he'd    drop    off    to    sleep    quickly.	23:32	[23,    32]	31:40	[31,    40]	4.0	0.976481556892395
afternoon	mag_1989_328663.txt-29-10	fic_1825_7041.txt-1647-2	Twenty-one    years    ago,    the    Czechs    tasted    freedom    for    an    afternoon.	On    the    afternoon    of    the    same    day    that    Wilson    commenced    his    journey    to    Quebec,    Grace    was    seated    at    her    father's    table,    busily    engaged    in    painting    glass,    --    a    fashionable    amusement    at    that    period.	55:64	[55,    64]	7:16	[7,    16]	4.0	0.8453980684280396
afternoon	fic_1852_69.txt-6782-7	fic_1997_54614.txt-159-18	   "It    was    towards    the    middle    of    the    afternoon,    as    she    was    so    reclining,    --    her    Bible    half    open,    her    little    transparent    fingers    lying    listlessly    between    the    leaves,    --    suddenly    she    heard    her    mother's    voice,    in    sharp    tones,    in    the    verandah.       "   "   "	lust    jumped    out    of    it,    out    of    my    seat,    out    of    my    job    (for    the    afternoon).	33:42	[34,    43]	62:71	[62,    71]	4.0	0.8656944632530212
afternoon	fic_1849_7218.txt-3369-36	fic_1850_2310.txt-1321-9	It    might    have    been    a    week    after    our    glimpse    of    Lord    Lovely,    that    Harry,    who    had    been    expecting    a    letter,    which,    he    told    me,    might    possibly    alter    his    plans;    one    afternoon    came    bounding    on    board    the    ship,    and    sprang    down    the    hatchway    into    the    between-decks,    where,    in    perfect    solitude,	She    remained    in    company    with    the    cows    all    the    afternoon.	160:169	[160,    169]	46:55	[46,    55]	4.0	0.9536268711090088
afternoon	fic_1998_43216.txt-454-14	fic_1851_3300.txt-1083-18	Lady    Dustan    insisted    he    sit    in    a    chair    by    the    fire,    though    the    afternoon    was    warm.	The    last    part    of    Louis    '    speech    was    nearly    inaudible,    and    no    more    was    said    until    the    afternoon.	63:72	[63,    72]	85:94	[85,    94]	4.0	0.9721881151199341
afternoon	fic_1971_782005.txt-463-14	fic_1846_7036.txt-2381-16	   "I    'm    in    the    flat    on    your    left    and    generally    free    in    the    late    afternoon    after    the    day's    work,    the    later    the    better.       "   "   "	By    some    accident,    Big    Elk    became    separated    from    his    hunting    companions,    late    in    the    afternoon    of    a    winter's    day.	61:70	[62,    71]	84:93	[84,    93]	4.0	0.9746952056884766
afternoon	fic_1835_7203.txt-689-5	fic_1987_780057.txt-318-5	About    four    o'clock    in    the    afternoon,    while    he    was    standing    at    the    tavern,    door    a    funeral    procession    passed    by,    at    the    foot    of    which,    and    singly,    walked    one    of    the    smallest    men    I    ever    saw.	I'd    landed    in    early    afternoon,    local    time.	26:35	[26,    35]	20:29	[20,    29]	4.0	0.9405835866928101
afternoon	fic_1846_200.txt-3364-3	fic_2007_34112.txt-95-13	   "On    a    warm    afternoon    of    spring,    as    the    artist    sat    among    his    riotous    companions    with    a    glass    of    wine    before    him,    a    splendid    butterfly    flew    in    at    the    open    window    and    fluttered    about    his    head.       "   "   "	Two    minutes    earlier,    she'd    pulled    into    the    garage    on    a    sunny    afternoon,    another    school    year    over,    U2    playing    on    the    radio.	10:19	[11,    20]	61:70	[61,    70]	4.0	0.9755078554153442
afternoon	fic_1993_25005.txt-782-34	fic_1825_7041.txt-1647-2	Mrs    Stark,    to    compensate    for    not    having    been    any    help    to    him    in    finding    somewhere    to    live,    offered    to    contribute    homemade    snacks    and    left    with    him    a    little    early    on    a    Friday    afternoon    to    help    with    preparations.	On    the    afternoon    of    the    same    day    that    Wilson    commenced    his    journey    to    Quebec,    Grace    was    seated    at    her    father's    table,    busily    engaged    in    painting    glass,    --    a    fashionable    amusement    at    that    period.	174:183	[174,    183]	7:16	[7,    16]	4.0	0.9761715531349182
afternoon	mag_1850_565942.txt-396-5	mag_1855_556005.txt-194-2	   "rrhe    next    day    in    the    afternoon,       "   "    he    exercised,       "   "    as    Gov.   "	One    Sabbath    afternoon,    in    the    winter    of    1753,    as    he    lay    on    a    couch,    in    the    full    possession    of    those    noble    faculties    he    had    borne    so    meekly,    listening    to    one    of    Sherlock's    Sermons,    his    wife    beside    and    his    children    around    him,    the    gentle    and    exalted    spirit    of	21:30	[22,    31]	12:21	[12,    21]	4.0	0.9378566145896912
afternoon	fic_1986_782031.txt-439-25	nf_1834_755185.txt-2925-9	These    random    thoughts    of    her    friend    led    now,    possibly    through    a    natural    association    of    Olga's    mean    street    with    the    one    on    which    that    afternoon's    miracle    had    taken    place,    back    to    her    own    emotion.	Beach    not    to    proceed    up    the    river    until    the    afternoon    of    the    next    day,    as    the    sight    of    troops    by    the    miners    might    make    them    hard    to    manage;    otherwise,    I    assured    the    Major,    he    would    have    no    trouble.	133:142	[133,    142]	44:53	[44,    53]	4.0	0.9294316172599792
afternoon	fic_1827_9758.txt-5747-16	fic_1846_7036.txt-2381-16	Being    obliged    to    leave    Solebury    the    next    day,    I    resolved    to    set    out    the    same    afternoon,    and    stopping    in    Chetasco,    for    the    night,    seek    his    habitation    at    the    hour    when    he    had    probably    retired    to    it.	By    some    accident,    Big    Elk    became    separated    from    his    hunting    companions,    late    in    the    afternoon    of    a    winter's    day.	77:86	[77,    86]	84:93	[84,    93]	4.0	0.9868311285972595
afternoon	fic_1993_53896.txt-67-8	mag_1980_491790.txt-342-2	   "Well,    that    doesn't    last    all    afternoon.	In    the    afternoon,    I    drove    down    to    the    square.	30:39	[29,    38]	7:16	[7,    16]	4.0	0.9248397350311279
afternoon	fic_1993_1040090.txt-2612-8	fic_1851_3300.txt-1083-18	She    tried    to    take    a    nap    in    the    afternoon,    but    when    she    didn't    fall    asleep    she    kept    getting    up    to    look    through    the    kitchen    window    at    Yiftach's    house.	The    last    part    of    Louis    '    speech    was    nearly    inaudible,    and    no    more    was    said    until    the    afternoon.	31:40	[31,    40]	85:94	[85,    94]	4.0	0.9825579524040222
afternoon	nf_1849_749269.txt-547-35	nf_2006_776561.txt-30-8	At    last,    toward    evening,    the    old    familiar    black    heads    of    thunderclouds    rose    fast    above    the    horizon,    and    the    same    deep    muttering    of    distant    thunder    that    had    become    the    ordinary    accompaniment    of    our    afternoon's    journey    began    to    roll    hoarsely    over    the    prairie.	Sitting    in    on    a    class    in    the    late    afternoon,    listening    to    him    draw    on    his    experiences    from    his    Stanley    days,    I    imagined    that    beyond    the    nineteen    young    peo-    ple    seated    in    the    room,    he    was    speaking    to    all    those    he    knew    back    home,    explaining    that    he    had    done    as    well    as    any    executive    could,    in    a    very    changed    world,    to    preserve    Stanley    as    it    was.	197:206	[197,    206]	34:43	[34,    43]	4.0	0.9314460754394531
afternoon	fic_2006_32064.txt-30-8	fic_1825_7041.txt-1647-2	When    the    scruffy-looking    teen    showed    up    uninvited    one    afternoon    at    the    artist's    door,    Sendak    politely    turned    him    away    but    invited    Arthur    to    telephone    him	On    the    afternoon    of    the    same    day    that    Wilson    commenced    his    journey    to    Quebec,    Grace    was    seated    at    her    father's    table,    busily    engaged    in    painting    glass,    --    a    fashionable    amusement    at    that    period.	54:63	[54,    63]	7:16	[7,    16]	4.0	0.9683648347854614
afternoon	news_1971_729575.txt-35-24	nf_1849_762578.txt-1803-0	Apollo    15    is    scheduled    to    racket    out    of    lunar    orbit    Wednesday    afternoon    and    head    for    earth    and    a    splashdown    in    the    Pacific    Ocean    Saturday    afternoon.	afternoon    that    the    Indian    bought    me,    he    started    with    me    to    his    residence,    which    was    fifty    or    sixty    miles    distant.	138:147	[62,    71]	0:9	[0,    9]	4.0	0.9305309653282166
afternoon	fic_1860_616.txt-3119-6	mag_1855_556005.txt-194-2	And    now,    in    the    sunny    afternoon,    there    could    hardly    be    a    spectacle    more    picturesque    than    the    vista    of    that    noble    street,    stretching    into    the    interminable    distance    between    two    rows    of    lofty    edifices,    from    every    window    of    which,    and    many    a    balcony,    flaunted    gay    and    gorgeous    carpets,    bright    silks,    scarlet    cloths    with    rich    golden    fringes,    and    Gobelin    tapestry,    still    lustrous    with    varied    hues,    though    the    product    of    antique    looms.	One    Sabbath    afternoon,    in    the    winter    of    1753,    as    he    lay    on    a    couch,    in    the    full    possession    of    those    noble    faculties    he    had    borne    so    meekly,    listening    to    one    of    Sherlock's    Sermons,    his    wife    beside    and    his    children    around    him,    the    gentle    and    exalted    spirit    of	22:31	[22,    31]	12:21	[12,    21]	4.0	0.9175009727478027
afternoon	mag_1968_490661.txt-153-13	fic_1988_10770.txt-925-3	Shaw    and    the    other    recruiter    planned    to    fly    to    Midland    together    in    the    afternoon.	Rememberinghis    exhaustion    that    afternoon,    he    thought    he'd    drop    off    to    sleep    quickly.	71:80	[71,    80]	31:40	[31,    40]	4.0	0.9560266733169556
afternoon	fic_1999_44564.txt-215-2	fic_1997_54614.txt-159-18	By    early    afternoon    he    was    on    his    way,    the    carpet    rolled    up    and    tied    behind    him.	lust    jumped    out    of    it,    out    of    my    seat,    out    of    my    job    (for    the    afternoon).	9:18	[9,    18]	62:71	[62,    71]	4.0	0.9071237444877625
afternoon	fic_1822_7275.txt-216-23	fic_1850_2310.txt-1321-9	   "Mrs.    Daggett,    nettled    by    her    sister's    hint,    rose    and    said,       "   "    that,    as    she    was    going    in    the    afternoon    to    attend    a    meeting    in    a    distant    part    of    the    town,    (for,       "   "    said    she,       "   "    no    one    can    say    that    distance    or    weather    ever    keeps    me    from    my    duties,)    she    had    no    more    time    to    waste.       "   "   "	She    remained    in    company    with    the    cows    all    the    afternoon.	91:100	[93,    102]	46:55	[46,    55]	4.0	0.9576451778411865
afternoon	fic_1834_7252.txt-206-4	nf_1849_762578.txt-1803-0	About    two    of    the    afternoon    they    reached    the    river,    almost    exhausted.	afternoon    that    the    Indian    bought    me,    he    started    with    me    to    his    residence,    which    was    fifty    or    sixty    miles    distant.	17:26	[17,    26]	0:9	[0,    9]	4.0	0.9631822109222412
afternoon	fic_1852_9832.txt-3009-7	fic_1988_10770.txt-925-3	we    may    send    for    these    things    this    afternoon,    but    perhaps    not    till    to-morrow.	Rememberinghis    exhaustion    that    afternoon,    he    thought    he'd    drop    off    to    sleep    quickly.	34:43	[34,    43]	31:40	[31,    40]	4.0	0.9641596078872681
afternoon	fic_1855_2965.txt-1882-18	fic_1854_5388.txt-1142-35	But    the    latter    felt    too    tired    to    walk    about    a    great    deal,    and    spent    most    of    the    afternoon    in    the    hotel,    while    his    uncle    was    off    attending    to    some    business.	   "In    the    evening,    having    supped,    we    went    to    the    theatre,    where    I    revenged    myself    upon    the       "   "    heavy    man,       "   "    and    the       "   "    light    comedian,       "   "    who    had    in    the    afternoon    made    merry    at    my    expense    for    carrying    the    harp,    by    getting    up    a    hiss    for    the    former    gentleman,    who    knew    not    one    single    word    of    his    part,    and    by    hitting    the    latter    individual    upon    the    nose    with    an    apple,    for    which    latter    feat    (as    the    actor    was    a    great    favorite,)    I    was    hounded    out    of    the    theatre,    and    narrowly    escaped    being    carried    to    the    watch-house.   "	80:89	[80,    89]	146:155	[151,    160]	4.0	0.9633284211158752
afternoon	fic_1860_2807.txt-3507-26	nf_1849_762578.txt-1803-0	After    the    meal    the    party    dispersed    --    most    of    them    taking    a    siesta    in    order    to    get    rid    of    two    or    three    hot    hours    of    the    afternoon    before    they    set    out    on    their    way    back    to    Elvas.	afternoon    that    the    Indian    bought    me,    he    started    with    me    to    his    residence,    which    was    fifty    or    sixty    miles    distant.	120:129	[120,    129]	0:9	[0,    9]	4.0	0.9578065872192383
afternoon	fic_1860_9817.txt-1654-35	fic_1992_40272.txt-627-18	Having    returned    their    salutations    with    graceful    dignity,    he    followed    them    into    the    camp,    when    they    all    sat    down    to    a    plentiful    repast,    consisting    of    fresh    fish    and    venison,    which    had    that    afternoon    been    taken    from    pond    and    surrounding    forest    by    the    devoted    band,    and    prepared    and    kept    in    readiness,    untasted,    for    the    expected    reception    of    their    royal    leader.	Old    shopping    lists    and    ticket    stubs    and    wads    of    listed    newsprint    come    falling    around    Pafko    in    the    faded    afternoon.	188:197	[188,    197]	104:113	[104,    113]	4.0	0.9132131338119507
afternoon	fic_1852_9832.txt-2197-8	mag_1855_556005.txt-194-2	   "He    said    he    calculated    to    plough    this    afternoon,        said    Mrs.    Barrington,    as    if    that    held    out    some    slight    hope    of    Ezra's    coming    home    before    night.       "   "   "	One    Sabbath    afternoon,    in    the    winter    of    1753,    as    he    lay    on    a    couch,    in    the    full    possession    of    those    noble    faculties    he    had    borne    so    meekly,    listening    to    one    of    Sherlock's    Sermons,    his    wife    beside    and    his    children    around    him,    the    gentle    and    exalted    spirit    of	39:48	[38,    47]	12:21	[12,    21]	4.0	0.9657711386680603
afternoon	fic_2006_51045.txt-778-3	fic_1992_40272.txt-627-18	In    the    late    afternoon,    all    four    brothers    came    with    their    wives    for    the    end    of    Pchum    Ben,    when    the    ghosts    of    the    dead    can    wander    the    Earth.	Old    shopping    lists    and    ticket    stubs    and    wads    of    listed    newsprint    come    falling    around    Pafko    in    the    faded    afternoon.	12:21	[12,    21]	104:113	[104,    113]	4.0	0.9656356573104858
afternoon	fic_1845_7262.txt-903-32	mag_1980_491790.txt-342-2	   "When    I    left    my    inn,       "   "    said    Fleetwood,       "   "    it    was    with    the    intention    of    bidding    you    farewell,    Miss    Adelaide,    and    quitting    this    place    for    the    city    this    afternoon.       "   "   "	In    the    afternoon,    I    drove    down    to    the    square.	148:157	[151,    160]	7:16	[7,    16]	4.0	0.9701447486877441
afternoon	fic_1849_7167.txt-1658-7	fic_1967_10491.txt-4998-1	It    was    then    pretty    late    in    the    afternoon    of    a    short    day,    and    I    felt    a    little    uneasy    about    the    chances    of    missing    my    way,    should    the    night    overtake    me.	By    afternoon    he    was    out    of    a    job;    he    was    also    codefendant,    with    his    paper,    in    a    suit    for    assault    and    battery.	31:40	[31,    40]	3:12	[3,    12]	4.0	0.911388099193573
afternoon	mag_1992_61830.txt-0-30	fic_1850_2310.txt-1321-9	@@61830    About    three    minutes    before    the    tip-off    of    Sunday's    Tournament    of    the    Americas    game,    the    Cuban    players    mounted    what    turned    out    to    be    their    best    attack    of    the    afternoon.	She    remained    in    company    with    the    cows    all    the    afternoon.	165:174	[165,    174]	46:55	[46,    55]	4.0	0.9250835180282593
afternoon	nf_2008_774723.txt-0-8	fic_1987_780057.txt-318-5	@@774723    1    Two    Years    Earlier    //    One    weekday    afternoon    in    May    2004,    General    George    Casey    bounded    up    the    stairs    to    the    third    floor    of    his    government-furnished    quarters,    a    beautiful    old    brick    mansion    on    the    Potomac    River    at    Fort    McNair    in    Washington,    D.C.    His    wife,    Sheila,    was    packing    for    a    move    across    the    river    to    Fort    Myer,    in    Virginia,    the    designated    quarters    of    the    Army's    vice    chief    of    staff.	I'd    landed    in    early    afternoon,    local    time.	44:53	[44,    53]	20:29	[20,    29]	4.0	0.9501073360443115
afternoon	fic_2006_31500.txt-95-14	fic_1854_5388.txt-1142-35	Out    of    all    the    things    she    could've    been    doing    on    such    a    pleasant    afternoon,    she    was    in    a    plush    hotel    bathroom,    running    game,    as    usual.	   "In    the    evening,    having    supped,    we    went    to    the    theatre,    where    I    revenged    myself    upon    the       "   "    heavy    man,       "   "    and    the       "   "    light    comedian,       "   "    who    had    in    the    afternoon    made    merry    at    my    expense    for    carrying    the    harp,    by    getting    up    a    hiss    for    the    former    gentleman,    who    knew    not    one    single    word    of    his    part,    and    by    hitting    the    latter    individual    upon    the    nose    with    an    apple,    for    which    latter    feat    (as    the    actor    was    a    great    favorite,)    I    was    hounded    out    of    the    theatre,    and    narrowly    escaped    being    carried    to    the    watch-house.   "	65:74	[65,    74]	146:155	[151,    160]	4.0	0.9364845752716064
afternoon	fic_1979_10650.txt-8749-42	fic_1825_7041.txt-1647-2	Of    course    it    was    too    early    to    expect    a    full    report    on    the    list    of    eleven    parasites    that    Aachen    had    relayed    to    the    comrades    there;    obviously    museums    and    galleries    would    not    open    till    ten,    which    would    be    four    in    the    afternoon    here.	On    the    afternoon    of    the    same    day    that    Wilson    commenced    his    journey    to    Quebec,    Grace    was    seated    at    her    father's    table,    busily    engaged    in    painting    glass,    --    a    fashionable    amusement    at    that    period.	214:223	[214,    223]	7:16	[7,    16]	4.0	0.9793955087661743
afternoon	fic_2001_29742.txt-130-10	fic_1852_9832.txt-757-5	Peter    had    watched    Huey    whittling    for    much    of    the    previous    afternoon,    but    he    hadn't    been    able    to    tell    what    Huey    was    working    on.	   "We    were    out    walking    one    afternoon,    and    the    two    boys    had    been    excursionizing    to    their    heart's    content,    when    Archie    came    up    with,       "   "    O    Miss    Kate!   "	58:67	[58,    67]	24:33	[25,    34]	4.0	0.9778448939323425
afternoon	mag_1964_312091.txt-0-4	mag_1855_556005.txt-194-2	   "@@312091    It    was    Saturday    afternoon    in    New    York,    and    the    Journal-American's    Columnist    (   "   "    Man    About    Manhattan       "   ")    and    Theater    Critic    John    McClain    had    a    date    with    Mrs.    Anne    Ford,    recently    divorced    from    Henry    Ford    II.   "	One    Sabbath    afternoon,    in    the    winter    of    1753,    as    he    lay    on    a    couch,    in    the    full    possession    of    those    noble    faculties    he    had    borne    so    meekly,    listening    to    one    of    Sherlock's    Sermons,    his    wife    beside    and    his    children    around    him,    the    gentle    and    exalted    spirit    of	25:34	[26,    35]	12:21	[12,    21]	4.0	0.9811554551124573
afternoon	nf_1963_773730.txt-203-32	fic_2007_34112.txt-95-13	On    circuit    judges    going    to    church    in    the    morning    were    to    wear    scarlet    robes,    hoods,    and    mantles,    and    to    sit    in    their    black    cornered    caps,    but    in    the    afternoons    to    wear    scarlet    robes    with    stole    and    scarlet    hood    and    again    to    sit    in    cornered    caps.	Two    minutes    earlier,    she'd    pulled    into    the    garage    on    a    sunny    afternoon,    another    school    year    over,    U2    playing    on    the    radio.	149:159	[149,    158]	61:70	[61,    70]	4.0	0.8356521129608154
afternoon	fic_1843_7325.txt-1640-7	fic_1997_54614.txt-159-18	Accordingly,    the    late    sunshine    of    that    afternoon    shone    full    on    the    yellow    buttons    of    James    as    he    proceeded    to    the    place    of    conflict.	lust    jumped    out    of    it,    out    of    my    seat,    out    of    my    job    (for    the    afternoon).	39:48	[39,    48]	62:71	[62,    71]	4.0	0.9163185358047485
